site_type	n_reg_genes	n_nonreg_genes	n_sites	protection_zone_start_bp	protection_zone_end_bp	protection_zone_width_bp	protection_zone_center_bp	min_ratio_reg_vs_nonreg	min_ratio_position_bp	AUC_diff_2kb	mean_reg_density_1kb	mean_nonreg_density_1kb	mean_reg_density_5kb	mean_nonreg_density_5kb
All_methylation	450	2196	3918	-300.0	500.0	1000.0	100.0	0.6462100456621006	1500.0	-0.2504189435336974	0.35370370370370363	0.4212204007285974	0.41822222222222216	0.46666666666666656
All_4mC	450	2196	1987	-100.0	100.0	400.0	0.0	0.6421052631578948	1500.0	-0.1021311475409835	0.20740740740740737	0.2322404371584699	0.22955555555555557	0.25314207650273224
All_6mA	450	2196	1934	-300.0	300.0	800.0	0.0	0.33821782178217824	300.0	-0.14788706739526403	0.14629629629629629	0.1893594414086217	0.18888888888888886	0.2141621129326047
GCCGGC_4mC	450	2196	1289	-100.0	100.0	400.0	0.0	0.6100000000000001	-100.0	-0.02316939890710378	0.13888888888888887	0.13471463266545233	0.15133333333333332	0.1587887067395264
AAGCCCG_6mA	450	2196	260			0.0		0.0	300.0	0.001839708561020048	0.029629629629629627	0.03187613843351548	0.02488888888888889	0.03119307832422586
