gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
SC_RS02085	51.55349145962415	10.145450536920526	2.721940343114386	1.3340840205344066e-14	5.510754414373891e-14
SC_RS02090	37.64038128547583	9.67996973039465	2.6893438760891697	1.6664384114165356e-13	6.467811215071488e-13
SC_RS02110	9.087768831491523	6.785993216525088	2.4712438796109932	4.0085308916950344e-7	1.023632259402768e-6
SC_RS02160	13.034163353926742	-0.181168913220386	0.5839991005527996	0.7057348251721416	0.7521673366693887
SC_RS02180	94.39519999357171	-0.02033494142819596	0.2197272536362288	0.9231996648427965	0.938044470084787
SC_RS02185	14.692698854396301	-1.388951198895088	0.6665187910641225	0.012298610561509663	0.01919085231700059
SC_RS02190	15.482397435698694	-1.076883411098873	0.6415306046710414	0.04215017514814211	0.06028436946926573
SC_RS02195	47.59416216108941	-1.1670083725818825	0.2969336605805517	4.083077188116445e-5	8.69858127064317e-5
SC_RS02200	553.2202663524433	7.47161366775822	0.3840127794435466	4.673148898561541e-84	1.4122883983557922e-82
SC_RS02210	9.174542711393826	0.9431917482372402	1.0073018310079545	0.13848840987284436	0.17787374128805108
SC_RS02220	189.42125341908246	0.7740014298969246	0.23374774572277845	6.537751346363949e-4	0.0012097687994748006
SC_RS02225	14.518810416961514	1.2707059448762548	0.6012550209833558	0.013243483465831733	0.020551994028769928
SC_RS02230	19.79396487595689	-0.18265875073688181	0.6860866139608158	0.7221304427686355	0.7675019968597425
SC_RS02240	18.560035499335974	0.5953210171582464	0.6297768566751266	0.23917172268695058	0.2906400177470477
SC_RS02245	35.34932191665595	1.2477729780628166	0.3660432508682387	2.75495077061744e-4	5.340860444254804e-4
SC_RS02250	16.699463121113997	-1.3556687500885578	0.6597442377820468	0.013877285593447084	0.021487591261137386
SC_RS02255	20.779131228217874	-0.543571632088415	0.5183843629520908	0.2229430442742955	0.272957969018617
SC_RS02260	88.71235818703218	-0.21747356885247304	0.2372521787157568	0.34485294983447856	0.40274105001289495
SC_RS02270	12.376786515211272	0.5842472073870432	0.6190929134378421	0.24339895671258965	0.2950266999087604
SC_RS02275	7.34895013975011	2.596857971454212	1.3885257964667626	0.00688801384557308	0.011184063254035204
SC_RS02280	23.361138789183755	1.1454298009461201	0.6211808909202408	0.02758773690968257	0.040831559506665296
SC_RS02285	51.054448117675484	0.07808085799671226	0.31330711663696453	0.794783781070834	0.8324543548037804
SC_RS02290	208.0716971292935	1.1798989915441698	0.1738313547069719	5.360260196518192e-12	1.8913036207927134e-11
SC_RS02295	10.055893442838485	2.434361677092434	0.7681758418878895	3.1485970146341515e-4	6.062496291587187e-4
SC_RS02300	65.23611126722864	-0.6298345901455299	0.2657725816265936	0.013836346446914723	0.02143288187461709
SC_RS02305	79.9899631634891	-0.48250646692744703	0.23285617809192138	0.03294857013882909	0.04805890257182129
SC_RS02310	64.99373516864003	0.14786325628208793	0.27093660237911266	0.5721357912224426	0.6296128756025902
SC_RS02315	11.44105291401606	-0.30715375105091336	0.5118318830541961	0.48625414538765205	0.5467498817108806
SC_RS02320	147.23727517870068	-1.831594141457368	0.22560389486293686	1.1384050572809391e-16	5.227774815597633e-16
SC_RS02325	92.50991632915985	-1.4821510759549439	0.2769070132664063	2.9602859928659436e-8	8.1741952695749385e-08
SC_RS02330	66.22726572987733	-1.20882726219268	0.25998171844763507	1.5453160341650048e-6	3.7688951825281104e-6
SC_RS02335	74.07783997316224	-0.04037122188096087	0.3173831867938635	0.8925528102038377	0.9134598831238847
SC_RS02340	30.607919166576412	0.9091506504753937	0.5178296821990536	0.043550532053562414	0.06214769841014151
SC_RS02345	25.613791596106715	0.9959345830956104	0.5223748667630955	0.028387675406733443	0.0419262441877311
SC_RS02350	21.508911039657242	0.7119304517551795	0.5522969619469112	0.1290681615784899	0.1671759107581868
SC_RS02355	25.26565815919635	1.1412200314395486	0.6739695485546203	0.037470979926982804	0.0541593785485275
SC_RS02360	70.5004470731079	0.48326236174955595	0.38456950513509963	0.1744777078739372	0.2186261151104759
SC_RS02365	11.160472210108905	0.692111527788917	0.7896622154779921	0.2171019019247658	0.2664891864050023
SC_RS02370	6.090587305680221	-0.022004456429091768	0.6829502129099128	0.9642287179763568	0.9707034598613857
SC_RS02375	40.08456757222422	1.738116454663289	0.3595083722536483	3.7846401364493884e-7	9.687766482521602e-7
SC_RS02380	190.34915725444773	2.655057648503602	0.2322838222972888	4.9942784110196715e-31	4.146172934924691e-30
SC_RS02385	9.809212434751279	-0.3721655435904751	0.91436284830267	0.4495265509330128	0.5101590260727418
SC_RS02390	30.433290554398386	1.6460597280545264	0.45840511918167876	1.0369619763038832e-4	2.1069920996065616e-4
SC_RS02405	50.76543985561193	1.7722089460426576	0.4092801107207552	3.9799362657790394e-6	9.375498929373716e-6
SC_RS02410	20.22369921999751	-0.45432858740087717	0.466602195546209	0.2730575931199925	0.3271385705101007
SC_RS02415	18.342736721466512	0.09270372893866667	0.5466927139441721	0.8407560115739213	0.8717684383637377
SC_RS02420	16.744338570028383	0.38626617859921686	0.6638097487433976	0.4489935566624974	0.5097260184471352
SC_RS02425	19.674795692364924	-0.04837477237768529	0.41155403130301343	0.8965630512890491	0.9164600387909184
SC_RS02430	10.022751893426223	-0.5399555449149438	0.6104274160399172	0.276257590505422	0.33040286829414306
SC_RS02435	10.27728761785616	0.0051761512663275645	0.6329153918530487	0.9914193578386357	0.9927177069190948
SC_RS02440	35.38758149323478	0.6245080555692011	0.37915643743522287	0.07585470338211125	0.10323692809890044
SC_RS02445	57.70557884231302	1.2032041538526685	0.364467198110878	4.2454705317831277e-4	8.042831438556441e-4
SC_RS02450	39.31928979686657	0.4453453846263303	0.3495483262246012	0.17469259165047185	0.21885950446657507
SC_RS02455	101.96837109266305	1.9589972494364425	0.23079051206774434	5.164796131630787e-18	2.5249380577013423e-17
SC_RS02460	8.829426194899574	1.3467949846622898	0.8082788221941238	0.029122271865376526	0.04288692039342621
SC_RS02475	155.57816399218325	0.953727382570503	0.19402801485150742	5.386334530478442e-7	1.3583085032994118e-6
SC_RS02480	116.65885906592588	1.3174868170302123	0.266420466637855	3.098458185423773e-7	7.982079274174585e-7
SC_RS02490	54.32624161023777	-0.07605250989178566	0.3039251743924953	0.7919697808865184	0.8299617522832127
SC_RS02495	62.31286057993048	0.3415912853664873	0.26400000819988234	0.17998192611574743	0.224859772398857
SC_RS02500	67.65176355973813	-0.8897573576670413	0.29920171158035813	0.0018192452734041324	0.003187431109176901
SC_RS02505	49.158445247318724	-0.6173416585110286	0.29572222220165617	0.028621030928841218	0.04223010468582014
SC_RS02510	13.508185331823897	0.17531790183086132	0.6490692151440969	0.7272630315033846	0.7720984641592445
SC_RS02515	40.53626276557434	2.6123527576047154	0.4064698326104618	2.630575808343241e-11	8.876161796377944e-11
SC_RS02520	54.88128839421697	2.6389323588245928	0.3340703094233887	5.100031906932545e-16	2.2618819002555827e-15
SC_RS02525	11.410550200842325	1.281414431515953	0.7449722567599205	0.03041983257997474	0.044685886629488344
SC_RS02530	66.11440299135131	2.202280419097655	0.30821305716142666	1.7136471828830156e-13	6.644293286168122e-13
SC_RS02535	19.898068512341748	1.3980714372252379	0.7178246702081937	0.016149020352737638	0.024729703508318043
SC_RS02540	10.078287858484636	0.7557874408092828	0.9480005788995091	0.20580695684683026	0.2538473934587618
SC_RS02545	28.816297799701253	-0.11825700170688927	0.4196989676396294	0.7559151068963854	0.7977538864499327
SC_RS02550	63.87422278920704	0.38475718465406056	0.2641190400000282	0.1315250599577056	0.17004406635722305
SC_RS02555	19.635824649477186	0.052077431100264554	0.49100997431302457	0.9039385899527173	0.9224424388244387
SC_RS02560	376.1759581990243	2.2262379384858644	0.16827628676319278	1.0226914765808452e-40	1.1688339357155669e-39
SC_RS02565	36.476671095583455	1.9883689586107918	0.3942226243228128	1.061535740974955e-7	2.8241135266160423e-7
SC_RS02570	37.83028322304346	2.622783936358177	0.47140714913973136	4.352084747259506e-9	1.2783726460832188e-8
SC_RS02575	21.129032302233963	3.173740020832225	0.7633695009707925	6.887388302493041e-6	1.5871299264876973e-5
SC_RS02580	36.71991247866245	2.0999748896418797	0.536389248506978	1.9201387090706976e-5	4.2346064521357235e-5
SC_RS02585	30.108940611125906	0.8300919353371327	0.5145200880852885	0.06420109499906715	0.08876701127719121
SC_RS02590	25.623517696792117	0.8121535522879543	0.6595077519750849	0.12042134119190248	0.15717677957550125
SC_RS02595	28.440141895472838	0.5239753894534219	0.6177674822105618	0.29597064034495585	0.3519974360052158
SC_RS02600	137.49131483076778	1.7498551836255662	0.350842901518632	1.6384475773115563e-07	4.300573352600123e-7
SC_RS02605	137.83725707786687	1.6454564827502474	0.39181102241052074	7.3772979388056e-6	1.6949164675513107e-5
SC_RS02610	11.323076260681416	1.141314741702596	0.5805333913638501	0.02168891453082991	0.03263795325776924
SC_RS02615	366.1050088002737	5.217369698264109	0.31269118992253236	2.70722747660934e-63	5.549453427923596e-62
SC_RS02620	2764.5762165066203	10.243299086692307	0.40667340751025943	9.46706576737567e-140	9.52436642859926e-138
