timepoint	n_sites	mean_freq	median_freq	std_freq	min_freq	max_freq	q25_freq	q75_freq	pct_above_80	pct_below_60
T1	1516	82.71790897097625	85.48	11.950062934544029	50.13	100.0	75.215	92.1725	66.02902374670184	6.398416886543536
T2	486	77.46421810699589	79.06	11.808132777736756	50.0	100.0	69.33000000000001	86.33	47.325102880658434	10.699588477366255
T3	30	67.65133333333333	64.85	12.7478578953305	50.0	95.24	55.837500000000006	78.19749999999999	20.0	33.33333333333333
