name,product,function,tier,category,locus_tag,bgc
bldA,tRNA-Leu,"UUA codon translation, master regulator",1,global,SC_RS28375,
bldB,BldB,Morphological differentiation,1,global,SC_RS30830,
bldC,BldC,"MerR family, aerial mycelium",1,global,SC_RS22590,
bldD,BldD,"Master regulator of development, c-di-GMP binding",1,global,SC_RS09420,
bldG,Anti-sigma factor antagonist,σF regulation,1,global,SC_RS19880,
bldH/adpA,AdpA,"AraC family, pleiotropic regulator",1,global,SC_RS16045,
bldM,Response regulator,Orphan response regulator,1,global,SC_RS26000,
bldN,σBldN,"ECF sigma factor, aerial development",1,global,SC_RS18720,
afsR,AfsR,"SARP-like global regulator, phosphorylated by AfsK",1,global,SC_RS24295,
afsK,Ser/Thr kinase,Phosphorylates AfsR,1,global,SC_RS24280,
afsS,AfsS,"σ-like factor, secondary metabolism",1,global,SC_RS24290,
crp,CRP/FNR family,cAMP receptor protein,1,global,SC_RS19990,
dasR,DasR,"GntR family, N-acetylglucosamine signaling",1,global,SC_RS28335,
absA2,Response regulator,"Two-component, represses multiple BGCs",2,pleiotropic,SC_RS18245,
absA1,Sensor kinase,Two-component with AbsA2,2,pleiotropic,SC_RS18240,
absB,RNase III,Post-transcriptional regulation of regulators,2,pleiotropic,SC_RS30075,
afsQ1,Response regulator,"Two-component, secondary metabolism",2,pleiotropic,SC_RS26695,
afsQ2,Sensor kinase,Two-component with AfsQ1,2,pleiotropic,SC_RS26690,
nsdA,NsdA,Negative regulator of antibiotic synthesis,2,pleiotropic,SC_RS30130,
nsdB,NsdB,"Negative regulator, MarR family",2,pleiotropic,SC_RS11445,
wblA,WhiB-like,"Wbl family, negative regulator",2,pleiotropic,SC_RS20030,
actII-ORF4,SARP regulator,Act pathway activator,3,csr,SC_RS27585,act
redD,SARP regulator,Red pathway activator,3,csr,SC_RS31630,red
redZ,Response regulator,Activates redD transcription,3,csr,SC_RS31650,red
cdaR,SARP regulator,CDA pathway activator,3,csr,SC_RS18200,cda
cpkO/kasO,SARP regulator,Cpk pathway activator,3,csr,SC_RS33650,cpk
papR2,AfsR/SARP,Activates multiple BGCs,3,csr,SC_RS35040,multiple
hrdB,σHrdB,Principal sigma factor,1,sigma,SC_RS31340,
hrdA,σHrdA,Sigma-70 family,2,sigma,SC_RS19450,
hrdC,σHrdC,Sigma-70 family,2,sigma,SC_RS30330,
hrdD,σHrdD,"Transcribes actII-ORF4, redD",2,sigma,SC_RS18125,
sigE,σE,"ECF sigma, cell envelope stress",2,sigma,SC_RS18895,
sigH,σH,"Heat shock, osmotic stress",2,sigma,SC_RS28395,
sigR,σR,Thiol-oxidative stress,2,sigma,SC_RS28260,
sigF,σF,Sporulation sigma factor,2,sigma,SC_RS22295,
sigB,σB,Osmotic stress,2,sigma,SC_RS04925,
sigU,σU,ECF sigma factor,2,sigma,SC_RS16875,
