mod_type,comparison,n_genes,spearman_r,p_value
6mA,T2_vs_T1,361,0.16935295394928163,0.0012383021051591138
6mA,T3_vs_T1,449,0.06441886821707268,0.17300168680214273
6mA,T3_vs_T2,458,-0.059261145387007406,0.20555213265851738
4mC,T2_vs_T1,474,0.17207420810349508,0.00016685244660411404
4mC,T3_vs_T1,430,0.08297333708470571,0.0857003984153429
4mC,T3_vs_T2,453,-0.002822468056589912,0.9522297200676018
