gene_id,6mA_T1_count,6mA_T1_mean_freq,6mA_T2_count,6mA_T2_mean_freq,6mA_T3_count,6mA_T3_mean_freq,4mC_T1_count,4mC_T1_mean_freq,4mC_T2_count,4mC_T2_mean_freq,4mC_T3_count,4mC_T3_mean_freq,log2FC_T2_vs_T1,padj_T2_vs_T1,log2FC_T3_vs_T1,padj_T3_vs_T1,log2FC_T3_vs_T2,padj_T3_vs_T2,6mA_change_T2_vs_T1,6mA_change_T3_vs_T1,6mA_change_T3_vs_T2,4mC_change_T2_vs_T1,4mC_change_T3_vs_T1,4mC_change_T3_vs_T2
SC_RS02065,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02070,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02075,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02080,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02085,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10.145450536920526,5.510754414373891e-14,7.735271409749111,5.003529298989274e-09,-1.9860798863520952,5.302696237635492e-10,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02090,0,0.0,0,0.0,0,0.0,0,0.0,1,90.79333333333334,0,0.0,9.67996973039465,6.467811215071488e-13,7.031963909443203,7.920637789255217e-08,-2.1587889055421576,2.5901919498219063e-11,0.0,0.0,0.0,90.79333333333334,0.0,-90.79333333333334
SC_RS02095,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02100,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02110,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6.785993216525088,1.023632259402768e-06,5.750986768526444,1.6178828631287955e-05,-0.6495927324664642,0.1793263990932937,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02120,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02130,0,0.0,0,0.0,0,0.0,0,0.0,1,87.85333333333334,1,88.74000000000001,,,,,,,0.0,0.0,0.0,87.85333333333334,88.74000000000001,0.8866666666666703
SC_RS02135,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02140,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02145,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
