mod_type,comparison,n_genes,spearman_r,p_value
6mA,T2_vs_T1,361,0.16935295394928163,0.0012383021051591138
6mA,T3_vs_T1,330,-0.04978606883337201,0.3673032583652812
6mA,T3_vs_T2,343,-0.16572308502594896,0.0020745248599861347
4mC,T2_vs_T1,474,0.17207420810349508,0.00016685244660411404
4mC,T3_vs_T1,346,-0.04122752322794522,0.44461329910935593
4mC,T3_vs_T2,396,-0.09343277200838314,0.0632434340005966
