gene_id,old_locus_tag,log2FC_T2_vs_T1,padj_T2_vs_T1,6mA_change_T2_vs_T1,comparison,mod_type,4mC_change_T2_vs_T1,log2FC_T3_vs_T1,padj_T3_vs_T1,6mA_change_T3_vs_T1,4mC_change_T3_vs_T1,log2FC_T3_vs_T2,padj_T3_vs_T2,6mA_change_T3_vs_T2,4mC_change_T3_vs_T2
SC_RS29885,SCO5540,-1.476720714939228,1.349846974541178e-12,-62.379999999999995,T2_vs_T1,6mA,,,,,,,,,
SC_RS31095,SCO5772,2.7931465098910957,1.7725797614258831e-31,18.71333333333334,T2_vs_T1,6mA,,,,,,,,,
SC_RS31380,SCO5827,6.746366056341315,1.1522480665657204e-173,54.056666666666665,T2_vs_T1,6mA,,,,,,,,,
SC_RS32025,SCO5956,-2.09236783247235,5.888344612414325e-11,-13.193333333333342,T2_vs_T1,6mA,,,,,,,,,
SC_RS32440,SCO6040,-1.1903370792587489,1.1742619347402644e-05,-61.51,T2_vs_T1,6mA,,,,,,,,,
SC_RS32515,SCO6055,-1.7938761209233385,6.900175662744861e-06,-56.76666666666667,T2_vs_T1,6mA,,,,,,,,,
SC_RS32765,SCO6104,2.0841602196964693,1.003491474594457e-20,55.663333333333334,T2_vs_T1,6mA,,,,,,,,,
SC_RS33200,SCO6190,-1.777873453667645,0.0015072145383255,54.153333333333336,T2_vs_T1,6mA,,,,,,,,,
SC_RS33670,SCO6284,7.355541116261326,1.3859434302175416e-132,64.36,T2_vs_T1,6mA,,,,,,,,,
SC_RS34185,SCO6394,3.587480848455814,3.358000681262023e-86,53.79333333333333,T2_vs_T1,6mA,,,,,,,,,
SC_RS34310,SCO6423,2.92654598374693,1.244219217648366e-37,58.21666666666666,T2_vs_T1,6mA,,,,,,,,,
SC_RS34350,SCO6431,3.829603320446256,3.1975551451346636e-26,63.84,T2_vs_T1,6mA,,,,,,,,,
SC_RS34375,SCO6436,1.9027652757710591,4.543961188315374e-09,-59.333333333333336,T2_vs_T1,6mA,,,,,,,,,
SC_RS34920,SCO6545,1.10397979581559,0.0017677933397501,-52.99333333333333,T2_vs_T1,6mA,,,,,,,,,
SC_RS34935,SCO6549,1.008776594612503,2.077082712451019e-06,-62.94166666666666,T2_vs_T1,6mA,,,,,,,,,
SC_RS35070,SCO6575,1.0839712234779222,0.0458160422400173,53.370000000000005,T2_vs_T1,6mA,,,,,,,,,
SC_RS35090,SCO6579,-1.4052316724620286,5.841890505878781e-07,64.07666666666667,T2_vs_T1,6mA,,,,,,,,,
SC_RS35240,SCO6608,1.584419470269122,1.4322835938499535e-16,56.04666666666666,T2_vs_T1,6mA,,,,,,,,,
SC_RS35525,SCO6668,1.0418397945969575,0.0003648569121190967,-52.94,T2_vs_T1,6mA,,,,,,,,,
SC_RS35605,SCO6684,5.65070932127834,4.5553754994504015e-11,58.16,T2_vs_T1,6mA,,,,,,,,,
SC_RS35610,SCO6685,6.6041010227398775,1.6843067948138286e-08,-64.42333333333333,T2_vs_T1,6mA,,,,,,,,,
SC_RS35615,SCO6686,-1.247441012381683,6.839394161404952e-11,-64.42333333333333,T2_vs_T1,6mA,,,,,,,,,
SC_RS35805,SCO6723,2.5333952180853783,1.7906245331674096e-27,53.28333333333333,T2_vs_T1,6mA,,,,,,,,,
SC_RS35890,SCO6741,1.1915049320336513,0.0030489277183179,65.0,T2_vs_T1,6mA,,,,,,,,,
SC_RS35970,SCO6757,-1.9785778824142868,3.232635874252209e-31,-67.84,T2_vs_T1,6mA,,,,,,,,,
SC_RS36220,,2.168987976181465,0.0001427567692109228,62.086666666666666,T2_vs_T1,6mA,,,,,,,,,
SC_RS36280,SCO6818,3.5598114945234944,9.703507526755393e-30,-53.78333333333333,T2_vs_T1,6mA,,,,,,,,,
SC_RS36930,SCO6944,1.5882801417233934,0.00038195064180002126,53.776666666666664,T2_vs_T1,6mA,,,,,,,,,
