GO_term	count	total_in_term	gene_ratio	bg_ratio	fold_enrichment	pvalue	padj
GO:0006412	60	68	0.04357298474945534	0.014035087719298246	3.104575163398693	3.8256108694163786e-25	8.607624456186851e-23
GO:0003735	54	61	0.0392156862745098	0.01259029927760578	3.1147540983606556	7.016233762193992e-23	7.893262982468241e-21
GO:0005840	30	37	0.02178649237472767	0.0076367389060887515	2.852852852852853	3.661483828104199e-11	2.746112871078149e-9
GO:0005737	35	51	0.025417574437182282	0.010526315789473684	2.414669571532317	2.5171878887425858e-9	1.4159181874177046e-7
GO:0003723	29	39	0.021060275962236745	0.00804953560371517	2.6163342830009495	3.147414610669106e-9	1.4163365748010977e-7
GO:0009252	21	30	0.015250544662309368	0.006191950464396285	2.462962962962963	2.610614014797225e-6	9.789802555489594e-5
GO:0006396	10	10	0.007262164124909223	0.0020639834881320948	3.518518518518519	3.359019624268615e-6	1.0796848792291978e-4
GO:0015934	9	9	0.006535947712418301	0.0018575851393188853	3.518518518518519	1.1874429022633793e-5	3.3396831626157544e-4
GO:0006098	10	11	0.007262164124909223	0.0022703818369453044	3.198653198653199	2.7452256556975047e-5	6.863064139243761e-4
GO:0006189	8	8	0.005809731299927378	0.001651186790505676	3.5185185185185186	4.1955159373615556e-5	8.27775757068334e-4
GO:0015986	8	8	0.005809731299927378	0.001651186790505676	3.5185185185185186	4.1955159373615556e-5	8.27775757068334e-4
GO:0006260	17	25	0.012345679012345678	0.005159958720330237	2.3925925925925924	4.4148040376977815e-5	8.27775757068334e-4
GO:0000105	9	10	0.006535947712418301	0.0020639834881320948	3.166666666666667	8.851311360792055e-5	0.0015319577355217017
GO:0006364	7	7	0.005083514887436456	0.0014447884416924665	3.518518518518518	1.4815989857631516e-4	0.002381141227119351
GO:0009236	13	19	0.00944081336238199	0.00392156862745098	2.4074074074074074	3.350042185218517e-4	0.004926467164565527
GO:0003924	17	28	0.012345679012345678	0.005779153766769866	2.136243386243386	3.503265539246597e-4	0.004926467164565527
GO:0015935	6	6	0.004357298474945534	0.001238390092879257	3.5185185185185186	5.229363597452879e-4	0.006037578400124238
