Pattern	Up	Down	Total	Note
両方で同方向に有意	3	14	17
  うちT2 > T3（FE減少）	2	1	3	T2でピーク後、T3で緩和
  うちT2 < T3（FE増加）	0	11	11	抑制が持続・強化
  うちT2 ≈ T3（FE維持）	1	2	3	持続的な変化
方向反転（T2 Up → T3 Down）	-	-	2	代謝の移行期を反映
方向反転（T2 Down → T3 Up）	-	-	0	該当なし
T2のみ有意	7	0	7	早期一過性応答
T3のみ有意	9	28	37	後期特異的応答
総計	-	-	63
