pathway_id	pathway_name	count	total_in_pathway	gene_ratio	fold_enrichment	pvalue	padj
sco00770	Pantothenate and CoA biosynthesis - Streptomyces coelicolor	11	28	0.007518796992481203	2.1409774436090223	0.007683453089515564	0.015890777980589008
sco00340	Histidine metabolism - Streptomyces coelicolor	9	22	0.006151742993848257	2.229447585906916	0.011511268828243356	0.023278343630447673
sco00900	Terpenoid backbone biosynthesis - Streptomyces coelicolor	9	23	0.006151742993848257	2.132515082171833	0.01589538002884001	0.03144520831792263
sco00552	Teichoic acid biosynthesis - Streptomyces coelicolor	4	7	0.002734107997265892	3.114149008885851	0.024680609206150606	0.04778586037786607
sco03018	RNA degradation - Streptomyces coelicolor	6	15	0.004101161995898838	2.1799043062200956	0.029675016928320964	0.056258886259941826
sco03060	Protein export - Streptomyces coelicolor	8	23	0.005468215994531784	1.8955689619305183	0.03546870398696804	0.06538235225777689
sco03420	Nucleotide excision repair - Streptomyces coelicolor	5	11	0.003417634996582365	2.4771639843410176	0.03592436937240488	0.06538235225777689
sco00780	Biotin metabolism - Streptomyces coelicolor	7	19	0.004784688995215311	2.0078065978342985	0.04488683736246606	0.08009219999969436
sco00630	Glyoxylate and dicarboxylate metabolism - Streptomyces coelicolor	16	57	0.010936431989063569	1.5297574078737515	0.046936994548509095	0.08213974045989092
sco00130	Ubiquinone and other terpenoid-quinone biosynthesis - Streptomyces coelicolor	5	12	0.003417634996582365	2.2707336523125994	0.05250362887110015	0.09014774013717196
sco00280	Valine, leucine and isoleucine degradation - Streptomyces coelicolor	13	45	0.00888585099111415	1.574375332270069	0.056282215046501896	0.0931214830769395
sco01250	Biosynthesis of nucleotide sugars - Streptomyces coelicolor	13	45	0.00888585099111415	1.574375332270069	0.056282215046501896	0.0931214830769395
