GO_term	count	total_in_term	gene_ratio	bg_ratio	fold_enrichment	pvalue	padj
GO:0008643	58	75	0.036069651741293535	0.015479876160990712	2.3300995024875624	3.599494488947744e-15	7.486948537011309e-13
GO:0140359	132	268	0.08208955223880597	0.05531475748194015	1.4840443305858766	1.5916585265747885e-8	1.297340858730655e-6
GO:0055085	153	321	0.09514925373134328	0.06625386996904024	1.436131259589901	1.871164700092291e-8	1.297340858730655e-6
GO:0042626	122	245	0.07587064676616916	0.05056759545923633	1.5003807493146513	2.5816050253763815e-8	1.3424346131957183e-6
GO:0016491	129	264	0.08022388059701492	0.05448916408668731	1.4722905359565805	4.302581773645935e-8	1.789874017836709e-6
GO:0004553	32	49	0.01990049751243781	0.010113519091847266	1.9677124581175753	3.818482247384818e-6	1.3237405124267367e-4
GO:0055052	39	66	0.024253731343283583	0.013622291021671827	1.780444369063772	1.2333875046414895e-5	3.664922870934712e-4
GO:0070403	34	58	0.021144278606965175	0.01197110423116615	1.7662763767370049	5.602457048503786e-5	0.0014566388326109844
GO:0010124	8	8	0.004975124378109453	0.001651186790505676	3.0130597014925375	1.4550406562482263e-4	0.003026484564996311
GO:0006817	8	8	0.004975124378109453	0.001651186790505676	3.0130597014925375	1.4550406562482263e-4	0.003026484564996311
GO:0015803	7	7	0.004353233830845771	0.0014447884416924665	3.0130597014925375	4.396931102391582e-4	0.008314196993613174
GO:0008940	8	9	0.004975124378109453	0.0018575851393188853	2.6782752902155886	9.244937872333428e-4	0.014791900595733485
GO:0009325	8	9	0.004975124378109453	0.0018575851393188853	2.6782752902155886	9.244937872333428e-4	0.014791900595733485
GO:0042126	6	6	0.0037313432835820895	0.001238390092879257	3.013059701492537	0.0013281366794302661	0.018416828621433023
GO:0000272	6	6	0.0037313432835820895	0.001238390092879257	3.013059701492537	0.0013281366794302661	0.018416828621433023
GO:0005975	46	98	0.028606965174129355	0.02022703818369453	1.4142933292720072	0.0029678032802945165	0.03858144264382871
GO:0004568	5	5	0.003109452736318408	0.0010319917440660474	3.0130597014925375	0.0040100945280364874	0.039888678468552916
GO:0052699	5	5	0.003109452736318408	0.0010319917440660474	3.0130597014925375	0.0040100945280364874	0.039888678468552916
GO:0010498	5	5	0.003109452736318408	0.0010319917440660474	3.0130597014925375	0.0040100945280364874	0.039888678468552916
GO:0015415	5	5	0.003109452736318408	0.0010319917440660474	3.0130597014925375	0.0040100945280364874	0.039888678468552916
GO:0032259	21	38	0.013059701492537313	0.00784313725490196	1.6651119402985075	0.004027222345382746	0.039888678468552916
GO:0016787	95	230	0.05907960199004975	0.047471620227038186	1.2445246593121349	0.005073615696799327	0.046932042446328606
GO:0006633	19	34	0.01181592039800995	0.007017543859649123	1.6837686567164178	0.00521271383993106	0.046932042446328606
GO:0008168	27	53	0.016791044776119403	0.010939112487100102	1.5349549422697832	0.0054152356668840705	0.046932042446328606
