gene_id	in_2v1	in_3v1	in_3v2	overlap_count	category
SC_RS02085	TRUE	TRUE	TRUE	3	All three
SC_RS02090	TRUE	TRUE	TRUE	3	All three
SC_RS02110	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02185	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS02195	TRUE	FALSE	FALSE	1	2v1 only
SC_RS02200	TRUE	TRUE	TRUE	3	All three
SC_RS02225	TRUE	TRUE	TRUE	3	All three
SC_RS02245	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02250	TRUE	TRUE	TRUE	3	All three
SC_RS02275	TRUE	TRUE	TRUE	3	All three
SC_RS02280	TRUE	TRUE	TRUE	3	All three
SC_RS02290	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS02295	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02320	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02325	TRUE	FALSE	FALSE	1	2v1 only
SC_RS02330	TRUE	FALSE	FALSE	1	2v1 only
SC_RS02375	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02380	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02390	TRUE	TRUE	TRUE	3	All three
SC_RS02405	TRUE	TRUE	TRUE	3	All three
SC_RS02445	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02455	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02460	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02480	TRUE	FALSE	FALSE	1	2v1 only
SC_RS02515	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02520	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02525	TRUE	TRUE	TRUE	3	All three
SC_RS02530	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02535	TRUE	TRUE	TRUE	3	All three
SC_RS02560	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS02565	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02570	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02575	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02580	TRUE	TRUE	TRUE	3	All three
SC_RS02600	TRUE	TRUE	TRUE	3	All three
SC_RS02605	TRUE	TRUE	TRUE	3	All three
SC_RS02610	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
