insight_type,tf,detail,correlation
Coordinated change,SC_RS27300,Lost methylation + Lost_Down,Positive
High Act correlation,actII-ORF4,r=0.954,BGC correlation
High Act correlation,afsR,r=-0.825,BGC correlation
High Act correlation,afsS,r=-0.809,BGC correlation
High Act correlation,absA1,r=0.573,BGC correlation
High Act correlation,absA2,r=0.613,BGC correlation
