context	methylation_type	n_TFBS	n_overlap	overlap_fraction	expected_fraction	fold	pvalue
promoter_reg	GCCGGC_T1	3274	18	0.005497861942577886	0.00574929214246378	0.9562676250126774	1.0
promoter_reg	AAGCCCG_T1	3274	1	0.00030543677458766036	0.001162341463274541	0.26277714788491313	0.19806305766877047
promoter_reg	All_4mC_T1	3274	28	0.00855222968845449	0.008848754903376665	0.9664896114583281	1.0
promoter_reg	All_6mA_T1	3274	29	0.00885766646304215	0.008613748234850949	1.0283173157075007	0.8496913277848503
promoter_reg	All_T1	3274	55	0.016799022602321318	0.017373095984105524	0.96695618430305	0.8934569152577732
promoter_nonreg	GCCGGC_T1	22813	139	0.006093017139350371	0.005725290589096654	1.0642284517320433	0.45549962786823783
promoter_nonreg	AAGCCCG_T1	22813	16	0.0007013544908604743	0.001157477899724535	0.6059333755118674	0.040404599156257055
promoter_nonreg	All_4mC_T1	22813	189	0.008284749923289352	0.008811871485396305	0.9401805209051745	0.415188590656655
promoter_nonreg	All_6mA_T1	22813	207	0.009073773725507385	0.008577840128033642	1.0578156727184689	0.40890814579063417
promoter_nonreg	All_T1	22813	383	0.016788673124972602	0.017300992824273664	0.9703878439518068	0.5764246034779187
intergenic	GCCGGC_T1	1076	2	0.0018587360594795538	0.005749496548820621	0.32328675105663496	0.10397132636339389
intergenic	AAGCCCG_T1	1076	1	0.0009293680297397769	0.0011623828836339056	0.7995369192243568	1.0
intergenic	All_4mC_T1	1076	3	0.0027881040892193307	0.008849069014521205	0.31507315454813256	0.03194036051397307
intergenic	All_6mA_T1	1076	28	0.026022304832713755	0.00861405404008253	3.0209126517697626	4.588946248551504e-07
intergenic	All_T1	1076	30	0.027881040892193308	0.017373710026791778	1.6047833680427674	0.013508627472303676
intragenic	GCCGGC_T1	29175	214	0.007335047129391602	0.005714789592677794	1.283520068488576	0.000402531276400378
intragenic	AAGCCCG_T1	29175	23	0.0007883461868037704	0.0011553500559452479	0.6823440071232664	0.06952847378923913
intragenic	All_4mC_T1	29175	283	0.009700085689802913	0.008795734351553008	1.1028170363160443	0.10289519771664977
intragenic	All_6mA_T1	29175	278	0.009528706083976006	0.008562129720915523	1.1128897125559	0.075120596446909
intragenic	All_T1	29175	539	0.018474721508140533	0.017269445623719015	1.0697923900212587	0.11567870508284397
all	GCCGGC_T1	56338	373	0.006620753310376655	0.005721709749271442	1.157128480908996	0.0056657384847516225
all	AAGCCCG_T1	56338	41	0.0007277503638751819	0.0011567523029706317	0.6291324097702345	0.0018834432816844148
all	All_4mC_T1	56338	503	0.008928254464127231	0.00880636873305396	1.013840634518946	0.7522271119748987
all	All_6mA_T1	56338	542	0.009620504810252405	0.008572482888465793	1.1222541864967404	0.00801229781410968
all	All_T1	56338	1007	0.01787425893712947	0.017290235305098767	1.0337776566787658	0.2861297733072067
