tf_family	exposed_in_family	exposed_not	shielded_in_family	shielded_not	family_total	OR_exact_label	p_fisher_2sided	n82_substring_key	OR_82_substring	exp_82	shi_82	p_BH_6family	n_total
MerR	6	56	22	967	28	4.709	0.004473425439961743	MerR	4.709	6/62	22/989	0.02684055263977046	1051
LysR	7	55	35	954	42	3.469	0.00924009348117474	LysR	3.469	7/62	35/989	0.02772028044352422	1051
LacI	5	57	30	959	35	2.804	0.04996411502161908	LacI	2.804	5/62	30/989	0.09992823004323816	1051
TetR	9	53	169	820	178	0.824	0.7277548480101131	TetR	0.824	9/62	169/989	0.7277548480101131	1051
Sigma factor	3	59	75	914	78	0.62	0.6166278793472273	Sigma	0.817	4/62	77/989	0.7277548480101131	1051
Sensor kinase	8	54	75	914	83	1.805	0.14205237899865988	sensor_kinase		0/62	0/989	0.21307856849798984	1051
