sample	timepoint	n_core_pos	mean_cov_core	n_arm_pos	mean_cov_arm	core_arm_ratio	legend_value	source
1-1	T1	4255770	46.783831	2208765	20.706261	2.259	2.26	modkit pileup bedMethyl col4==21839 (4mC), col10 Nvalid_cov; core 1,500,000-7,170,000 bp
1-2	T1	4252535	43.414326	2208441	19.950876	2.176		modkit pileup bedMethyl col4==21839 (4mC), col10 Nvalid_cov; core 1,500,000-7,170,000 bp
1-3	T1	4327025	65.112095	2227447	29.939902	2.175		modkit pileup bedMethyl col4==21839 (4mC), col10 Nvalid_cov; core 1,500,000-7,170,000 bp
2-1	T2	4268548	44.183265	2252396	38.986341	1.133	1.13	modkit pileup bedMethyl col4==21839 (4mC), col10 Nvalid_cov; core 1,500,000-7,170,000 bp
2-3	T2	4261860	40.242305	2249519	34.964431	1.151		modkit pileup bedMethyl col4==21839 (4mC), col10 Nvalid_cov; core 1,500,000-7,170,000 bp
2-4	T2	4252586	38.753652	2243350	33.398036	1.16		modkit pileup bedMethyl col4==21839 (4mC), col10 Nvalid_cov; core 1,500,000-7,170,000 bp
3-2	T3	4160289	15.282426	2198309	12.848384	1.189	1.19	modkit pileup bedMethyl col4==21839 (4mC), col10 Nvalid_cov; core 1,500,000-7,170,000 bp
3-3	T3	4244202	35.914883	2239481	30.489684	1.178		modkit pileup bedMethyl col4==21839 (4mC), col10 Nvalid_cov; core 1,500,000-7,170,000 bp
3-4	T3	4203296	29.103792	2218865	24.903655	1.169		modkit pileup bedMethyl col4==21839 (4mC), col10 Nvalid_cov; core 1,500,000-7,170,000 bp
