sample	n_core_pos	mean_cov_core	n_arm_pos	mean_cov_arm
1-1	4255770	46.783831	2208765	20.706261
1-2	4252535	43.414326	2208441	19.950876
1-3	4327025	65.112095	2227447	29.939902
2-1	4268548	44.183265	2252396	38.986341
2-3	4261860	40.242305	2249519	34.964431
2-4	4252586	38.753652	2243350	33.398036
3-2	4160289	15.282426	2198309	12.848384
3-3	4244202	35.914883	2239481	30.489684
3-4	4203296	29.103792	2218865	24.903655
