Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
M145_1_1_trimmed_R1	0.6126031111009701	2.806376909085326
M145_1_1_trimmed_R2	0.7295912345387927	2.88843479581164
M145_1_2_trimmed_R1	0.597394352295947	2.6369467755732083
M145_1_2_trimmed_R2	0.7195377933324679	2.8534912987988377
M145_1_3_trimmed_R1	0.6165838708733887	2.8375650445565386
M145_1_3_trimmed_R2	0.7727898223599743	3.0079291165275923
M145_2_1_trimmed_R1	1.49677484363215	8.388572238370195
M145_2_1_trimmed_R2	1.5500391264819264	11.231529761249654
M145_2_3_trimmed_R1	1.528001887762645	8.234447126328044
M145_2_3_trimmed_R2	0.7499164177748674	10.698675212331938
M145_2_4_trimmed_R1	1.7587794135421304	8.410478645071246
M145_2_4_trimmed_R2	1.5021407933730948	10.947519670923494
M145_3_2_trimmed_R1	1.66185814661127	11.18593425461259
M145_3_2_trimmed_R2	2.0759748323590235	14.05471692868414
M145_3_3_trimmed_R1	1.9273181585057462	14.496118186256533
M145_3_3_trimmed_R2	1.207446041484564	18.849509014563132
M145_3_4_trimmed_R1	1.921328930159733	13.393464740270893
M145_3_4_trimmed_R2	1.1869297148466234	17.560561575969462
