bin_center_bp	shielded_mean	shielded_ci_lo	shielded_ci_hi	exposed_mean	exposed_ci_lo	exposed_ci_hi
-487.5	0.20120724346076457	0.02519689529823116	0.377217591623298	0.0	0.0	0.0
-462.5	0.12072434607645874	-0.01575046715634401	0.2571991593092615	0.0	0.0	0.0
-437.5	0.20120724346076457	0.02519689529823116	0.377217591623298	0.0	0.0	0.0
-412.5	0.12072434607645874	-0.01575046715634426	0.25719915930926174	0.0	0.0	0.0
-387.5	0.36217303822937624	0.1265083983615575	0.597837678097195	0.7017543859649122	-0.6736842105263152	2.0771929824561397
-362.5	0.16096579476861167	0.003457783875819881	0.3184738056614035	0.0	0.0	0.0
-337.5	0.12072434607645874	-0.01575046715634415	0.2571991593092616	0.0	0.0	0.0
-312.5	0.24144869215291748	0.04873651780577312	0.4341608665000618	0.0	0.0	0.0
-287.5	0.16096579476861167	0.003457783875819631	0.3184738056614037	0.0	0.0	0.0
-262.5	0.08048289738430583	-0.031004528430757627	0.1919703231993693	0.7017543859649122	-0.6736842105263152	2.0771929824561397
-237.5	0.08048289738430583	-0.031004528430756628	0.1919703231993683	0.7017543859649122	-0.6736842105263152	2.0771929824561397
-212.5	0.12072434607645874	-0.015750467156344067	0.2571991593092615	0.0	0.0	0.0
-187.5	0.20120724346076457	0.025196895298231048	0.3772175916232981	0.7017543859649122	-0.6736842105263152	2.0771929824561397
-162.5	0.0	0.0	0.0	0.0	0.0	0.0
-137.5	0.16096579476861167	-0.03207119385647442	0.35400278339369773	1.4035087719298245	-0.5242093767360012	3.3312269205956504
-112.5	0.20120724346076457	0.025196895298231187	0.37721759162329793	0.0	0.0	0.0
-87.5	0.08048289738430583	-0.03100452843075782	0.1919703231993695	0.0	0.0	0.0
-62.5	0.04024144869215292	-0.038631790744465905	0.11911468812877174	0.0	0.0	0.0
-37.5	0.0	0.0	0.0	0.0	0.0	0.0
-12.5	0.0	0.0	0.0	0.0	0.0	0.0
12.5	0.12072434607645874	-0.0157504671563449	0.2571991593092624	0.0	0.0	0.0
37.5	0.12072434607645874	-0.015750467156343345	0.25719915930926085	0.0	0.0	0.0
62.5	0.12072434607645874	-0.015750467156345233	0.25719915930926274	0.7017543859649122	-0.6736842105263152	2.0771929824561397
87.5	0.12072434607645874	-0.015750467156345566	0.25719915930926307	0.0	0.0	0.0
112.5	0.04024144869215292	-0.038631790744466335	0.11911468812877217	0.0	0.0	0.0
137.5	0.12072434607645874	-0.01575046715634429	0.25719915930926174	0.0	0.0	0.0
162.5	0.0	0.0	0.0	0.0	0.0	0.0
187.5	0.08048289738430583	-0.031004528430758432	0.1919703231993701	0.7017543859649122	-0.6736842105263152	2.0771929824561397
212.5	0.12072434607645874	-0.015750467156344594	0.25719915930926207	0.0	0.0	0.0
237.5	0.12072434607645874	-0.015750467156344233	0.25719915930926174	0.0	0.0	0.0
262.5	0.16096579476861167	0.003457783875820658	0.3184738056614027	0.0	0.0	0.0
287.5	0.04024144869215292	-0.0386317907444657	0.11911468812877153	0.0	0.0	0.0
312.5	0.08048289738430583	-0.031004528430758307	0.19197032319936996	0.0	0.0	0.0
337.5	0.04024144869215292	-0.03863179074446613	0.11911468812877196	0.0	0.0	0.0
362.5	0.24144869215291748	0.04873651780577293	0.434160866500062	0.0	0.0	0.0
387.5	0.08048289738430583	-0.03100452843075767	0.19197032319936935	0.0	0.0	0.0
412.5	0.08048289738430583	-0.03100452843075721	0.19197032319936888	0.0	0.0	0.0
437.5	0.04024144869215292	-0.03863179074446617	0.119114688128772	0.0	0.0	0.0
462.5	0.08048289738430583	-0.031004528430757794	0.19197032319936946	0.0	0.0	0.0
487.5	0.08048289738430583	-0.03100452843075821	0.19197032319936988	0.7017543859649122	-0.6736842105263152	2.0771929824561397
