metric	value
contingency_a_in_comod	244
contingency_b_in_notcomod	1090
contingency_c_out_comod	2
contingency_d_out_notcomod	1236879
odds_ratio	138439.6679
CI95_lower_normal	34383.2672
CI95_upper_normal	557408.9725
CI95_lower_exact	34384.1472
CI95_upper_exact	557394.7062
log_OR_SE	0.710645
fisher_p_onesided	0.000000e+00
permutation_n	10000
permutation_p	< 0.0001
perm_null_median_OR	1.879647
perm_null_max_OR	15.3687
intra_A1_C5_pairs	155
intra_A0_C3_pairs	85
other_intra_pairs	4
cross_motif_forbidden_pairs	0
total_comod_pairs	244
