sample_id	raw_reads	clean_reads	pass_rate	q20_before	q20_after	q30_before	q30_after	gc_before	gc_after	duplication_rate	low_quality	too_short	too_many_N	adapter_trimmed
M145_1_1	14425304	14199732	98.4%	98.1%	98.7%	93.7%	94.8%	68.6%	68.6%	18.5%	190456	34258	396	156716
M145_1_2	13702930	13495608	98.5%	98.1%	98.7%	93.7%	94.8%	68.6%	68.6%	17.9%	178702	27966	372	162732
M145_1_3	17867160	17572954	98.4%	98.1%	98.7%	93.7%	94.8%	68.5%	68.5%	21.2%	251486	41934	378	207927
M145_2_1	15121812	14846722	98.2%	98.2%	98.8%	94.0%	95.0%	68.4%	68.5%	25.4%	184024	90454	380	198005
M145_2_3	13986648	13298282	95.1%	98.2%	98.8%	94.0%	94.9%	68.2%	68.5%	26.5%	174742	512994	294	386316
M145_2_4	15026620	14809930	98.6%	98.2%	98.8%	94.0%	95.0%	68.4%	68.4%	25.8%	187964	28122	368	202539
M145_3_2	15784660	15469070	98.0%	98.2%	98.8%	94.0%	95.0%	68.1%	68.2%	28.0%	199858	115188	322	209582
M145_3_3	14844560	13952756	94.0%	98.3%	98.9%	94.2%	95.1%	67.4%	67.7%	33.5%	179856	711322	332	491438
M145_3_4	14588384	13657422	93.6%	98.3%	98.8%	94.2%	95.1%	67.7%	68.1%	31.3%	177176	752988	332	515452
