gene_set	n_lost	n_never	median_lost	mean_lost	median_never	mean_never	median_diff	MWU_p	rank_biserial_r	cohens_d
All genes (genome-wide)	155	7170	-0.0582628062432079	0.19503279533079165	-0.002867890995655	0.3977548394480194	-0.0553949152475529	0.25553280501542874	0.05329914068475283	-0.08874595621916162
All regulatory (1,017)	5	357	0.2393870876711896	0.308686821303261	-0.2169778760015775	0.095191998293443	0.45636496367276713	0.330535662305374	-0.2593837535014005	0.11406339709939053
Shielded regulatory (955)	4	347	0.3290723642810789	0.33178295318893847	-0.2195603813184456	0.09833243227054106	0.5486327455995245	0.3488996363376365	-0.2809798270893371	0.12526241904559474
Exposed regulatory (62)	1	10	0.216302293760551	0.216302293760551	0.3250376678927231	-0.013781060711859427				
