gene_id	SC_RS36385	SC_RS36390	SC_RS36395	SC_RS36400	SC_RS36405	SC_RS36410
SC_RS36385	1.0	0.8666666666666667	0.4	0.8	0.45	0.5
SC_RS36390	0.8666666666666667	1.0	0.6666666666666666	0.75	0.6	0.7833333333333333
SC_RS36395	0.4	0.6666666666666666	1.0	0.5833333333333334	0.95	0.9333333333333333
SC_RS36400	0.8	0.75	0.5833333333333334	1.0	0.6833333333333333	0.5833333333333334
SC_RS36405	0.45	0.6	0.95	0.6833333333333333	1.0	0.8666666666666667
SC_RS36410	0.5	0.7833333333333333	0.9333333333333333	0.5833333333333334	0.8666666666666667	1.0
