mod_type,comparison,n_genes,spearman_r,p_value
6mA,T2_vs_T1,621,-0.037751483263040383,0.34762728303947416
6mA,T3_vs_T1,662,-0.09320412761534316,0.016450062390375702
6mA,T3_vs_T2,667,-0.0916754147298235,0.01787542847309806
4mC,T2_vs_T1,626,0.12484994555484846,0.0017495202304170108
4mC,T3_vs_T1,542,-0.003392490031348663,0.9371932294845063
4mC,T3_vs_T2,600,-0.02969492186068544,0.46782812849301303
