start	end	center	density_T1	mean_freq_T1	density_T2	mean_freq_T2	density_T3	mean_freq_T3	delta_T3_T1
0	50000	25000.0000	0.2200	57.3473	0.2200	59.7836	0.1600	60.0775	-0.0600
50000	100000	75000.0000	0.1600	61.8475	0.2400	59.4067	0.2400	60.1342	0.0800
100000	150000	125000.0000	0.2000	58.8570	0.1600	57.5887	0.3600	57.4372	0.1600
150000	200000	175000.0000	0.2400	61.3292	0.2400	57.3542	0.2400	58.9958	0.0000
200000	250000	225000.0000	0.1800	54.9133	0.1600	58.0912	0.2000	58.1230	0.0200
250000	300000	275000.0000	0.1400	62.9471	0.1400	59.4514	0.1800	58.4278	0.0400
300000	350000	325000.0000	0.2800	59.4536	0.2400	57.2417	0.3400	57.2776	0.0600
350000	400000	375000.0000	0.2200	62.4864	0.3200	56.9444	0.3000	57.1487	0.0800
400000	450000	425000.0000	0.1800	58.0022	0.2000	57.1170	0.2800	56.6179	0.1000
450000	500000	475000.0000	0.1800	61.8289	0.1600	62.6725	0.2200	59.7191	0.0400
500000	550000	525000.0000	0.2400	58.2050	0.3000	56.0913	0.2600	57.6608	0.0200
550000	600000	575000.0000	0.3200	56.9481	0.2200	58.8855	0.3200	59.5875	0.0000
600000	650000	625000.0000	0.3800	60.8374	0.4200	61.8205	0.3800	59.9147	0.0000
650000	700000	675000.0000	0.0800	61.3025	0.1000	55.7240	0.1400	56.9357	0.0600
700000	750000	725000.0000	0.2200	60.9591	0.3200	58.8038	0.2400	60.5217	0.0200
750000	800000	775000.0000	0.3200	59.2888	0.3200	60.6437	0.3600	58.5311	0.0400
800000	850000	825000.0000	0.2000	56.6730	0.3400	55.1988	0.2000	55.5720	0.0000
850000	900000	875000.0000	0.1800	62.0867	0.2600	55.6400	0.3600	57.9278	0.1800
900000	950000	925000.0000	0.4400	62.4014	0.4200	61.1771	0.4800	60.5675	0.0400
950000	1000000	975000.0000	0.1600	56.1500	0.2000	57.2730	0.2000	58.1090	0.0400
1000000	1050000	1025000.0000	0.2600	58.0454	0.2600	56.6231	0.2400	59.5808	-0.0200
1050000	1100000	1075000.0000	0.1200	60.2283	0.1400	61.2800	0.3400	56.7747	0.2200
1100000	1150000	1125000.0000	0.1600	55.3075	0.1200	54.8367	0.1400	57.0929	-0.0200
1150000	1200000	1175000.0000	0.3000	55.9387	0.2600	56.6000	0.3600	56.1994	0.0600
1200000	1250000	1225000.0000	0.2200	56.0155	0.2200	55.9418	0.1800	54.8778	-0.0400
1250000	1300000	1275000.0000	0.2600	63.5700	0.2800	62.1221	0.2800	62.3750	0.0200
1300000	1350000	1325000.0000	0.1800	62.3056	0.2400	62.3308	0.2600	61.7108	0.0800
1350000	1400000	1375000.0000	0.2200	57.3382	0.2800	58.4150	0.3000	56.4933	0.0800
1400000	1450000	1425000.0000	0.1600	61.3062	0.1400	62.4286	0.2200	56.6973	0.0600
1450000	1500000	1475000.0000	0.2200	60.5164	0.2200	59.7300	0.1600	60.7425	-0.0600
1500000	1550000	1525000.0000	0.1000	56.1860	0.2000	56.2570	0.1800	60.1056	0.0800
1550000	1600000	1575000.0000	0.2600	55.0638	0.2400	58.5333	0.2400	56.4392	-0.0200
1600000	1650000	1625000.0000	0.2200	60.5818	0.2200	59.2100	0.2600	60.0000	0.0400
1650000	1700000	1675000.0000	0.3200	58.8469	0.2400	59.2250	0.2600	60.8323	-0.0600
1700000	1750000	1725000.0000	0.3800	58.2984	0.3800	57.8853	0.4800	56.6125	0.1000
1750000	1800000	1775000.0000	0.1800	61.4389	0.2000	60.3350	0.2200	60.9527	0.0400
1800000	1850000	1825000.0000	0.3200	59.7494	0.4800	58.1525	0.3600	61.0294	0.0400
1850000	1900000	1875000.0000	0.4400	57.2536	0.5000	58.4056	0.4400	58.0827	0.0000
1900000	1950000	1925000.0000	0.1400	59.2757	0.2000	59.1920	0.2000	59.0760	0.0600
1950000	2000000	1975000.0000	0.3200	57.8056	0.3600	56.1722	0.4000	59.1955	0.0800
2000000	2050000	2025000.0000	0.1400	57.7486	0.2000	56.7450	0.3400	56.1941	0.2000
2050000	2100000	2075000.0000	0.2800	61.4886	0.2600	59.8777	0.4200	59.6076	0.1400
2100000	2150000	2125000.0000	0.2200	60.8818	0.2400	61.2192	0.2600	59.9623	0.0400
2150000	2200000	2175000.0000	0.1800	64.1856	0.2200	58.3100	0.2600	61.5892	0.0800
2200000	2250000	2225000.0000	0.0800	61.9775	0.1600	56.4712	0.1800	58.0600	0.1000
2250000	2300000	2275000.0000	0.1800	58.2478	0.1600	55.8163	0.2400	55.0225	0.0600
2300000	2350000	2325000.0000	0.3400	61.8706	0.4000	59.7580	0.3000	61.9940	-0.0400
2350000	2400000	2375000.0000	0.2200	60.0400	0.2200	61.6709	0.2400	57.9183	0.0200
2400000	2450000	2425000.0000	0.3200	57.8012	0.3200	59.8681	0.3400	58.2941	0.0200
2450000	2500000	2475000.0000	0.3000	55.6080	0.2600	55.1554	0.3800	56.5784	0.0800
2500000	2550000	2525000.0000	0.2400	58.7550	0.3400	56.0759	0.3600	58.0228	0.1200
2550000	2600000	2575000.0000	0.2600	60.1192	0.2800	60.4993	0.3000	62.1373	0.0400
2600000	2650000	2625000.0000	0.2200	58.8127	0.2800	57.7436	0.3200	57.4187	0.1000
2650000	2700000	2675000.0000	0.2200	60.4655	0.2200	59.8436	0.3000	58.4140	0.0800
2700000	2750000	2725000.0000	0.1600	54.9350	0.1600	56.3062	0.2000	56.5490	0.0400
2750000	2800000	2775000.0000	0.2600	56.9185	0.2600	55.6423	0.3000	57.3967	0.0400
2800000	2850000	2825000.0000	0.2600	62.0323	0.2600	57.5377	0.2000	61.0150	-0.0600
2850000	2900000	2875000.0000	0.2200	57.0009	0.2400	58.9783	0.3000	57.7747	0.0800
2900000	2950000	2925000.0000	0.2600	59.8300	0.3400	58.0759	0.2600	59.8400	0.0000
2950000	3000000	2975000.0000	0.1400	62.0957	0.3000	58.7240	0.3000	57.4640	0.1600
3000000	3050000	3025000.0000	0.2800	57.9964	0.3200	58.8006	0.2600	57.7692	-0.0200
3050000	3100000	3075000.0000	0.2000	61.3580	0.3400	58.4388	0.3400	60.5224	0.1400
3100000	3150000	3125000.0000	0.1000	56.8780	0.2000	56.8180	0.1800	58.0056	0.0800
3150000	3200000	3175000.0000	0.3600	59.9894	0.3400	58.7994	0.4000	58.3475	0.0400
3200000	3250000	3225000.0000	0.2600	57.4908	0.2600	60.9169	0.3000	58.6827	0.0400
3250000	3300000	3275000.0000	0.2600	62.8131	0.3800	57.8121	0.3800	58.5937	0.1200
3300000	3350000	3325000.0000	0.3000	59.4653	0.3200	62.4325	0.2200	61.9145	-0.0800
3350000	3400000	3375000.0000	0.2200	55.4173	0.2000	55.3450	0.2000	54.8490	-0.0200
3400000	3450000	3425000.0000	0.2400	60.8408	0.2600	62.3831	0.3000	62.3073	0.0600
3450000	3500000	3475000.0000	0.2600	61.3777	0.2800	58.9157	0.3600	60.0683	0.1000
3500000	3550000	3525000.0000	0.2200	52.8027	0.2400	55.3467	0.3600	56.4628	0.1400
3550000	3600000	3575000.0000	0.1600	55.2987	0.2200	53.4891	0.1200	56.4600	-0.0400
3600000	3650000	3625000.0000	0.1800	59.5900	0.1400	61.9914	0.1600	58.8163	-0.0200
3650000	3700000	3675000.0000	0.1400	56.4743	0.1400	56.5671	0.1400	58.1257	0.0000
3700000	3750000	3725000.0000	0.3000	56.5373	0.2800	59.4221	0.3800	57.9637	0.0800
3750000	3800000	3775000.0000	0.2600	65.5846	0.3000	63.7173	0.4200	61.9462	0.1600
3800000	3850000	3825000.0000	0.1200	66.0517	0.1200	64.9800	0.1800	60.7656	0.0600
3850000	3900000	3875000.0000	0.1000	59.5080	0.0800	61.0825	0.1000	60.1880	0.0000
3900000	3950000	3925000.0000	0.1600	59.4012	0.1800	60.0622	0.1600	56.5200	0.0000
3950000	4000000	3975000.0000	0.2000	59.4790	0.2400	57.5892	0.2400	60.0267	0.0400
4000000	4050000	4025000.0000	0.2800	57.0914	0.3000	57.3240	0.4000	56.0230	0.1200
4050000	4100000	4075000.0000	0.1000	63.2160	0.1600	61.5412	0.1600	58.3925	0.0600
4100000	4150000	4125000.0000	0.3000	58.0393	0.4200	55.7281	0.3800	57.9653	0.0800
