start	end	center	density_T1	mean_freq_T1	density_T2	mean_freq_T2	density_T3	mean_freq_T3	delta_T3_T1
0	50000	25000.0000	0.0400	62.1300	0.3000	78.7407	0.2800	71.3557	0.2400
50000	100000	75000.0000	0.0200	98.0400	0.2800	72.7007	0.1800	72.4767	0.1600
100000	150000	125000.0000	0.1000	88.8260	0.3400	78.8118	0.1800	85.0700	0.0800
150000	200000	175000.0000	0.0400	85.4500	0.2000	77.2650	0.0600	70.0367	0.0200
200000	250000	225000.0000	0.0800	91.4550	0.3200	76.6856	0.2600	81.4869	0.1800
250000	300000	275000.0000	0.0400	72.1150	0.2200	78.2000	0.1200	83.5667	0.0800
300000	350000	325000.0000	0.0600	88.1633	0.3000	79.7507	0.2200	86.1364	0.1600
350000	400000	375000.0000	0.0600	93.5967	0.3000	77.9753	0.1800	85.0822	0.1200
400000	450000	425000.0000	0.1200	91.7583	0.2600	82.2569	0.1600	84.6975	0.0400
450000	500000	475000.0000	0.1600	86.4200	0.2400	75.0942	0.0800	79.0900	-0.0800
500000	550000	525000.0000	0.0000		0.2600	76.4562	0.1400	83.9129	0.1400
550000	600000	575000.0000	0.0400	91.6650	0.1600	83.4512	0.0200	71.8800	-0.0200
600000	650000	625000.0000	0.1000	86.8360	0.3200	81.4056	0.1800	77.0322	0.0800
650000	700000	675000.0000	0.0400	93.3250	0.1800	85.6367	0.0800	84.5050	0.0400
700000	750000	725000.0000	0.1400	88.3386	0.2800	83.6279	0.0800	90.1500	-0.0600
750000	800000	775000.0000	0.0800	82.9225	0.2000	77.5880	0.0400	89.2850	-0.0400
800000	850000	825000.0000	0.0800	76.3025	0.1800	73.2744	0.0600	79.3067	-0.0200
850000	900000	875000.0000	0.0800	89.3300	0.2400	83.3908	0.0800	85.4625	0.0000
900000	950000	925000.0000	0.0600	90.3900	0.3600	77.8494	0.1600	80.9188	0.1000
950000	1000000	975000.0000	0.1800	90.0022	0.3200	82.8262	0.2200	83.4473	0.0400
1000000	1050000	1025000.0000	0.0800	86.4150	0.2200	79.7536	0.1200	89.9067	0.0400
1050000	1100000	1075000.0000	0.1200	86.5667	0.2000	84.2850	0.0800	86.9950	-0.0400
1100000	1150000	1125000.0000	0.2200	82.0036	0.2800	81.6221	0.1200	83.0000	-0.1000
1150000	1200000	1175000.0000	0.1200	79.7400	0.2800	76.9957	0.1000	80.5320	-0.0200
1200000	1250000	1225000.0000	0.1000	75.8080	0.1600	75.4537	0.1200	71.4783	0.0200
1250000	1300000	1275000.0000	0.1600	84.9375	0.3800	79.6211	0.1600	85.4162	0.0000
1300000	1350000	1325000.0000	0.0800	87.1775	0.1600	80.0300	0.1400	83.6714	0.0600
1350000	1400000	1375000.0000	0.1600	86.3413	0.1800	88.9900	0.1400	85.4029	-0.0200
1400000	1450000	1425000.0000	0.2600	85.9223	0.2600	84.6238	0.1800	84.7167	-0.0800
1450000	1500000	1475000.0000	0.1800	86.3156	0.2600	82.2338	0.2200	81.2018	0.0400
1500000	1550000	1525000.0000	0.2400	84.1858	0.3000	78.2700	0.1400	81.2686	-0.1000
1550000	1600000	1575000.0000	0.1800	73.8356	0.2400	71.6042	0.0400	72.1450	-0.1400
1600000	1650000	1625000.0000	0.2000	76.1520	0.2400	69.7292	0.1800	72.3867	-0.0200
1650000	1700000	1675000.0000	0.2400	85.9458	0.3200	83.3575	0.3200	81.2225	0.0800
1700000	1750000	1725000.0000	0.2600	84.5954	0.3200	80.8131	0.1800	87.1189	-0.0800
1750000	1800000	1775000.0000	0.1800	79.7356	0.1800	80.6822	0.1400	80.2386	-0.0400
1800000	1850000	1825000.0000	0.1800	77.9878	0.1600	76.7800	0.1400	81.2229	-0.0400
1850000	1900000	1875000.0000	0.2400	80.0483	0.3400	82.9612	0.2200	81.6091	-0.0200
1900000	1950000	1925000.0000	0.2000	82.5110	0.2600	80.0300	0.2200	79.5455	0.0200
1950000	2000000	1975000.0000	0.1800	78.3789	0.1800	73.0700	0.1000	83.4100	-0.0800
2000000	2050000	2025000.0000	0.4200	83.6433	0.3600	83.3344	0.2400	89.1133	-0.1800
2050000	2100000	2075000.0000	0.2400	79.9992	0.2800	77.4279	0.1000	77.7380	-0.1400
2100000	2150000	2125000.0000	0.3200	84.9156	0.3600	81.7544	0.1400	82.0914	-0.1800
2150000	2200000	2175000.0000	0.3000	82.9467	0.2800	85.0457	0.1800	81.2633	-0.1200
2200000	2250000	2225000.0000	0.2800	80.6007	0.3000	81.7033	0.2200	80.4064	-0.0600
2250000	2300000	2275000.0000	0.3800	81.5300	0.3400	86.5953	0.2400	89.7267	-0.1400
2300000	2350000	2325000.0000	0.5200	83.1362	0.5600	81.5136	0.3000	82.7593	-0.2200
