locus_tag	gene_name	old_locus_tag	tf_family	annotation	region	log2FC	padj	methyl_change_combined	delta_GCCGGC_pct	delta_AAGCCCG_pct	delta_6mA_pct	temporal_pattern	coordination_T2	category_A_codirected	category_B_largeMethyl	category_C_largeLFC	category
SC_RS40740		SCO7711	Sensor kinase	sensor histidine kinase	arm	3.323752560787572	5.540295728720464e-31	1.6763	83.815			T2T3_up	discordant_gain_up	True	True	True	A,B,C
SC_RS38475		SCO7252	Other regulatory	DNA-binding protein NsdB	arm	9.530292574912137	1.8903837971568821e-252	0.9231	92.31			T2T3_up	discordant_gain_up	True	True	True	A,B,C
SC_RS08090		SCO1227	HTH (other)	helix-turn-helix transcriptional regulator	arm	4.8574849580221	1.0504968452721195e-39	0.8776		87.76		T2T3_up	discordant_gain_up	True	True	True	A,B,C
SC_RS17795		SCO3134	Response regulator	response regulator transcription factor	core	3.862293400136804	1.104230837631596e-70	0.5996		7.390000000000001	52.57	T2T3_up	discordant_gain_up	True	True	True	A,B,C
SC_RS07750		SCO1160	Sensor kinase	sensor histidine kinase	arm	7.895713314069832	6.685778908988326e-80	0.5153			51.53	T2T3_up	ambiguous	True	True	True	A,B,C
SC_RS35610	ramR	SCO6685	Response regulator	two-component system response regulator RamR	arm	8.847923903643316	3.332752738380108e-11	0.4583999999999998			-9.290000000000006	T2T3_up	ambiguous	True	True	True	A,B,C
SC_RS27300		SCO5027	HTH (other)	winged helix DNA-binding domain-containing protein	core	-2.0816956167144225	2.2933528337691613e-13	-0.1554999999999999		-7.774999999999999		T2T3_down	ambiguous	True	True	True	A,B,C
SC_RS32025		SCO5956	TetR	TetR/AcrR family transcriptional regulator	core	-2.276955921465654	5.0560369061422746e-11	-0.2187000000000001		-10.935000000000002		T2T3_down	ambiguous	True	True	True	A,B,C
SC_RS13145		SCO2223	TetR	TetR/AcrR family transcriptional regulator	core	-2.7985256796387907	1.4619202996223605e-21	-0.5136			-51.36	T2T3_down	discordant_loss_down	True	True	True	A,B,C
SC_RS22780		SCO4122	MarR	MarR family winged helix-turn-helix transcriptional regulator	core	-3.862409740149491	2.6804264118874064e-83	-0.6448			-6.5049999999999955	T2T3_down	discordant_loss_down	True	True	True	A,B,C
SC_RS38610		SCO7279	HTH (other)	helix-turn-helix domain-containing protein	arm	1.459130272910083	1.8372545252536231e-09	1.1946		65.59	53.87	T2T3_up	discordant_gain_up	True	True	False	A,B
SC_RS02455		SCO0089	LysR	LysR family transcriptional regulator	arm	1.996267814330596	1.1875814630760875e-14	0.7856000000000001	78.56			T2T3_up	discordant_gain_up	True	True	False	A,B
SC_RS38785		SCO7314	Sigma factor	SigB/SigF/SigG family RNA polymerase sigma factor	arm	1.9106358305601812	6.405123198255962e-10	0.7639	76.39			T2T3_up	ambiguous	True	True	False	A,B
SC_RS36220			HTH (other)	helix-turn-helix transcriptional regulator	arm	1.7717150262982868	0.0106912764751931	0.6209			62.09	T2T3_up	discordant_gain_up	True	True	False	A,B
SC_RS06310		SCO0877	HTH (other)	helix-turn-helix transcriptional regulator	arm	1.6553679271158672	3.922442782716455e-21	0.5313			53.13	T2_up	discordant_gain_up	True	True	False	A,B
SC_RS29350	tcrA	SCO5433	Other regulatory	AfsR-like transcriptional regulator TcrA	core	1.1870150801249613	3.0865283741764397e-06	0.5193			51.93	T2T3_up	discordant_gain_up	True	True	False	A,B
SC_RS13965	fasR	SCO2386	Other regulatory	fatty acid biosynthesis transcriptional regulator FasR	core	-1.3096522610330428	3.848248885630113e-15	-0.1829		-6.096666666666657		T2T3_down	ambiguous	True	True	False	A,B
SC_RS16855		SCO2950	Other regulatory	HU family DNA-binding protein	core	-1.6613775957407972	2.9831552655051355e-14	-0.507		-50.7		T2T3_down	discordant_loss_down	True	True	False	A,B
SC_RS25370		SCO4639	TetR	TetR/AcrR family transcriptional regulator	core	-1.2374927770659256	2.953020559404361e-08	-0.5498			-54.98	T2T3_down	discordant_loss_down	True	True	False	A,B
SC_RS33745		SCO6299	TetR	TetR/AcrR family transcriptional regulator	core	-1.4625627834801054	3.995221205154786e-07	-0.5657			-56.57	T2_down	discordant_loss_down	True	True	False	A,B
SC_RS07910		SCO1191	MarR	MarR family winged helix-turn-helix transcriptional regulator	arm	-2.9236552002412837	1.6312809495587037e-18	1.2618	76.67		-6.515000000000001	T2T3_down	concordant_repression	False	True	True	B,C
SC_RS36820		SCO6924	HTH (other)	helix-turn-helix domain-containing protein	arm	-2.6512168805872203	0.000254687757996	0.8362	-0.1299999999999954	83.75		T2_down	concordant_repression	False	True	True	B,C
SC_RS24635		SCO4495	Other regulatory	UdgX family uracil-DNA binding protein	core	-2.885192098520523	2.39121332598803e-13	0.5488999999999999			-1.7700000000000031	T2T3_down	concordant_repression	False	True	True	B,C
SC_RS21680		SCO3907	Other regulatory	single-stranded DNA-binding protein	core	-2.5696452550254967	1.3118774690164058e-32	0.5207		52.07		T2T3_down	concordant_repression	False	True	True	B,C
SC_RS09835		SCO1564	Sigma factor	sigma-70 family RNA polymerase sigma factor	core	5.5269691734079345	3.393746014177269e-24	-0.5027		-50.27		T2T3_up	concordant_derepression	False	True	True	B,C
SC_RS05485		SCO0712	HTH (other)	helix-turn-helix transcriptional regulator	arm	-1.092554429792889	0.0335251373144556	1.4354	91.64		51.9	T2_down_T3_up	concordant_repression	False	True	False	B
SC_RS40040		SCO7568	ROK	ROK family protein	arm	-1.212956784482011	1.9798837921785498e-05	1.3769999999999998	72.9		64.8	T2_down	concordant_repression	False	True	False	B
SC_RS07000		SCO1008	ArsR	ArsR/SmtB family transcription factor	arm	0.0924621478190691	0.7011306550014702	0.8798999999999999		87.99		T3_down	methyl_change_no_expr_change	False	True	False	B
SC_RS28630		SCO5289	Sensor kinase	sensor histidine kinase	core	-0.0369786446381299	0.8414520406331445	0.5402			54.02	T3_down	methyl_change_no_expr_change	False	True	False	B
SC_RS39850		SCO7530	MerR	MerR family transcriptional regulator	arm	0.841167050999035	0.0122301805229151	0.5114			51.14	T3_up	methyl_change_no_expr_change	False	True	False	B
SC_RS07215		SCO1052	HTH (other)	helix-turn-helix domain-containing protein	arm	-0.4278173498979656	0.4869021347174306	-0.404	12.199999999999989		-52.6	T3_up	methyl_change_no_expr_change	False	True	False	B
SC_RS30140		SCO5584	Other regulatory	P-II family nitrogen regulator	core	-0.5520993440395129	0.0663544133440707	-0.4446999999999999	7.649999999999992		-52.12	T3_down	methyl_change_no_expr_change	False	True	False	B
SC_RS31385		SCO5828	Response regulator	response regulator	core	1.3645614961116626	1.8557352193124634e-07	-0.5013000000000001			-50.13	T2_up	concordant_derepression	False	True	False	B
SC_RS35525		SCO6668	Sensor kinase	sensor histidine kinase	arm	1.192730313621187	9.345178045249545e-05	-0.5294			-52.94	T2T3_up	concordant_derepression	False	True	False	B
SC_RS06430		SCO0897	Other regulatory	PPC domain-containing DNA-binding protein	arm	1.0725951660655857	0.0157850735216154	-0.5952000000000001			-59.52	T2T3_up	concordant_derepression	False	True	False	B
SC_RS04270		SCO0471	HTH (other)	helix-turn-helix domain-containing protein	arm	1.526311821195577	1.2402162782138632e-05	-0.5961			-59.61	T2T3_up	concordant_derepression	False	True	False	B
SC_RS29355		SCO5434	Response regulator	response regulator	core	-2.0721552618354653	2.1847389564353058e-13	0.0				T2T3_down	ambiguous	False	False	True	C
SC_RS09315		SCO1468	TetR	tetratricopeptide repeat protein	core	4.026952770152274	1.7832508749357542e-33	-0.0151			-1.509999999999998	T2T3_up	ambiguous	False	False	True	C
SC_RS25990		SCO4766	LysR	LysR family transcriptional regulator	core	-0.5619109836197297	0.0059447432079914	0.0867999999999998	8.679999999999993			T3_down	methyl_change_no_expr_change	False	False	False	-
SC_RS03250		SCO0266	HTH (other)	helix-turn-helix domain-containing protein	arm	0.8492831427730276	0.0761919609304948	0.0805		61.42	-53.37	T3_up	methyl_change_no_expr_change	False	False	False	-
SC_RS15270		SCO2639	Sigma factor	RNA polymerase sigma factor	core	-1.7747397059724868	2.120495197321675e-07	0.0803		8.030000000000001		T2T3_down	ambiguous	False	False	False	-
SC_RS33895		SCO6334	Other regulatory	LuxR C-terminal-related transcriptional regulator	core	1.2456809977015784	3.2118275643664055e-05	0.0800999999999999			8.009999999999998	T2T3_up	ambiguous	False	False	False	-
