metric	activation	repression	MW_p_value
n_genes	33.0	23.0	
n_with_phase_ratio	31.0	23.0	
mean_phase_ratio	0.6772432483920211	0.9267811232205045	2.8594e-01
median_phase_ratio	0.7579037633440647	0.883074106138502	
std_phase_ratio	0.8736889518562417	0.5887837165920482	
n_early	20.0	16.0	
n_late	7.0	4.0	
n_gradual	4.0	3.0	
n_nonresponder	2.0	0.0	
mean_T1_z	-1.0499632622574084	1.2806183493749304	
mean_T2_z	0.196056070449462	-0.46049858549491124	
mean_T3_z	0.8539071918079465	-0.8201197638800193	
mean_LFC_T2vsT1	2.052805874814159	-1.574752580042303	
mean_LFC_T3vsT2	0.6974445790866586	-0.18133427511785657	
mean_LFC_T3vsT1	2.756857399772506	-1.746100946657361	
