locus_tag	old_locus_tag	gene_name	product	tf_family	module	bloc	coordination_T2	coordination_T3	LFC_T2vsT1	LFC_T3vsT1	LFC_T3vsT2	padj_T2vsT1	padj_T3vsT1	padj_T3vsT2	early_magnitude	late_magnitude	phase_ratio	temporal_class	direction	temporal_direction	earliness_score	trajectory_cluster	T1_mean	T2_mean	T3_mean	T1_z	T2_z	T3_z
SC_RS22980			LacI family DNA-binding transcriptional regulator	LacI		unassigned			-0.0261795784401953	-1.386678225928751	-1.3585403095207955	0.9099118869510534	3.3533132860895164e-12	2.302475643825771e-11	0.0261795784401953	1.3585403095207955	0.01887934630448321	late	down	late_down	0.0189060463895368	2	1410.1248479003534	1383.2671672223967	530.6333791142887	0.7397324475939367	0.6739713734769139	-1.4137038210708515
SC_RS22780			MarR family winged helix-turn-helix transcriptional regulator	MarR	2.0	activation			-3.79957961958281	-3.5392565751456435	0.2524424260109404	5.766380137126139e-88	9.025250669458276e-89	0.2356765893853004	3.79957961958281	0.2524424260109404	1.0735530298270206	early	down	early_down	0.9376996414964669	1	1227.2077941102295	87.0281342126658	105.48663414465113	1.4140723128856163	-0.7243457043208629	-0.6897266085647534
SC_RS06310			helix-turn-helix transcriptional regulator	LuxR	1.0	activation			1.688781934919955	0.3646558250554286	-1.3153794513162222	3.741050281151121e-24	0.031597342487197	2.677547570080598e-15	1.688781934919955	1.3153794513162222		non-responder	up	non-responder_up	0.5621475406085171	4	353.01303938817813	1152.860328576631	458.8281444004926	-0.8509845827085285	1.403689066034233	-0.5527044833257052
SC_RS07910			MarR family winged helix-turn-helix transcriptional regulator	MarR	2.0	activation			-2.8247283435391974	-2.1045634810451976	0.6681949956138334	8.542326584087242e-19	4.162399989543619e-14	0.040839159500124	2.8247283435391974	0.6681949956138334	1.3421920360113544	early	down	early_down	0.8087003547416164	1	178.55982251802516	24.389284032169304	39.70362275929842	1.4084547991443495	-0.8146416607680775	-0.593813138376272
SC_RS25990			LysR family transcriptional regulator	LysR	2.0	activation			-0.5614154947959401	-1.193490472610386	-0.6199586204780211	0.0038732214510234	2.536545758473156e-10	0.0018096114607506	0.5614154947959401	0.6199586204780211	0.47039796938472395	gradual	down	gradual_down	0.47522244434670496	1	255.73988366392368	171.36351987473134	109.93129867664864	1.2836991535762758	-0.12795526632083604	-1.1557438872554406
SC_RS35195			TetR/AcrR family transcriptional regulator	TetR	2.0	activation			-1.5315166238060172	-1.5502641674059274	-0.0139660205760059	3.3380934782945707e-12	6.082588908883867e-14	0.9564019636881486	1.5315166238060172	0.0139660205760059	0.987906871619641	early	down	early_down	0.9909633273942803	1	193.7161381244323	65.66955608696186	64.82792426988091	1.4141908012223188	-0.700146781782014	-0.7140440194403042
SC_RS38785			SigB/SigF/SigG family RNA polymerase sigma factor	Sigma factor	1.0	activation			1.9292968279677385	1.4941315998411235	-0.4089955051803432	4.0457431010406377e-11	1.7896686511187993e-07	0.1183141952926358	1.9292968279677385	0.4089955051803432	1.2912495982100156	early	up	early_up	0.8250879500972342	4	27.9378306899596	109.84160823146898	81.02670370498171	-1.3264597015214392	1.0879397460772062	0.23851995544423243
SC_RS39260			LacI family DNA-binding transcriptional regulator	LacI		unassigned			0.6752788836681285	1.1268958401806786	0.4252087357924647	0.0417953703301207	0.0002811313017637984	0.1709760145469969	0.6752788836681285	0.4252087357924647	0.5992380658356667	gradual	up	gradual_up	0.6136178832595648	3	30.218460280842322	49.74617237199399	68.02194891979742	-1.2380385235006812	0.027034920110978095	1.2110036033897036
SC_RS17795			response regulator transcription factor	LuxR	1.0	activation			3.4047840224669184	3.160115290808316	-0.234252241734791	6.4490549138040534e-49	1.7319557842793294e-42	0.3071799087718228	3.4047840224669184	0.234252241734791	1.0774239890456716	early	up	early_up	0.9356279451972591	4	126.48977469273302	1358.268568462149	1147.3726891967444	-1.395979336224218	0.8940286173702687	0.5019507188539496
SC_RS22135			SigE family RNA polymerase sigma factor	Sigma factor		unassigned			0.2650411061157262	3.231774411787676	2.944306837725684	0.3644528431520644	2.9536927980454345e-33	2.3878723294802857e-27	0.2650411061157262	2.944306837725684	0.08201101696609976	late	up	late_up	0.08258409831070805	3	119.60310347748468	145.5392574804703	1153.872118791626	-0.7338650120265111	-0.6800066555871194	1.413871667613631
SC_RS37910			ATP-binding protein	LuxR		unassigned			0.652518858032593	-0.0697866123175507	-0.7234383996617645	0.0008555230903564099	0.7291531100025177	0.00020440914137367016	0.652518858032593	0.7234383996617645		non-responder	down	non-responder_down	0.4742290171706152	4	1095.7126214638927	1744.3782659991875	1043.2822947115885	-0.6232968053643887	1.411023597652915	-0.787726792288527
