coordination_type	n_genes	n_with_phase_ratio	mean_phase_ratio	median_phase_ratio	std_phase_ratio	mean_LFC_T2vsT1	mean_LFC_T3vsT2	dominant_temporal_class
discordant_gain_up	15	15	0.580249814411518	0.5992380658356667	0.6073803862343067	1.8814816330422532	0.8836090424144742	early
concordant_derepression	9	9	0.7873532898159233	0.6650041433727935	0.8954644383076179	1.5557079716694981	0.8140420326394017	early
concordant_repression	8	8	0.7847480170788677	0.6553668563133918	0.7318174336312143	-0.9618878164417605	-0.43217891484899285	early
discordant_loss_down	10	10	0.9823741250595667	0.8528987464059621	0.6945563896998717	-1.4195621365587148	-0.11179933647262577	early
