metric	exposed	shielded	test_p_value
n_total	62.0	955.0	
n_meaningful_change	60.0	673.0	
n_with_phase_ratio	60.0	673.0	
mean_phase_ratio	0.8628351694290587	0.7112866379650978	1.8034e-01
median_phase_ratio	0.7682387031832614	0.6959425660627426	
std_phase_ratio	0.8823250126684531	0.8792783263041709	
n_early	39.0	378.0	
n_late	13.0	208.0	
n_gradual	8.0	87.0	
n_nonresponder	2.0	282.0	
pct_early	62.903225806451616	39.58115183246073	chi2 p=3.1309e-01
pct_late	20.967741935483872	21.780104712041883	
pct_gradual	12.903225806451612	9.109947643979059	
early_fraction_of_responders	0.6499999999989167	0.5616641901930814	
