locus_tag	methyl_T1	methyl_T2	methyl_T3	6mA_T1	6mA_T2	6mA_T3	4mC_T1	4mC_T2	4mC_T3	methyl_change_str	early_methyl_transition	late_methyl_transition	phase_ratio	temporal_class	LFC_T2vsT1	LFC_T3vsT2	direction	bloc	early_methyl_code	late_methyl_code	early_methyl_pos	late_methyl_pos
SC_RS27105	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	lost_T2,lost_T3	maintained	maintained	0.7309167558136414	early	-1.788905032851815	-0.632804786454554	down	repression	0	0	2.0575177381503655	2.024000440159351
SC_RS27300	2.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	lost_T3	maintained	lost	1.6177950641691563	early	-2.0816956167144225	0.753097475772929	down	repression	0	-1	2.0426762898046174	0.9704602990821873
SC_RS28630	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	gained_T2,gained_T3	gained	maintained	0.015918714238097608	late	-0.0369786446381299	-2.280477005553935	down	repression	1	0	2.9798039724540932	1.9842040319731358
SC_RS29350	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	gained_T2	gained	lost	0.7579037633440647	early	1.1870150801249613	0.3607291813720613	up	activation	1	-1	3.008669354880765	0.9738932243734937
SC_RS29355	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	gained_T3	absent	gained	1.8771375723727333	early	-2.0721552618354653	0.9264959197735568	down	repression	0	1	0.03986921100277005	3.0119606856701053
SC_RS30140	2.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	lost_T2,lost_T3	maintained	maintained	0.4043398901599898	gradual	-0.5520993440395129	-0.7782582540624634	down	repression	0	0	1.9470057660171005	1.9719031714475335
SC_RS31385	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	lost_T2,lost_T3	lost	absent	2.688309597048415	early	1.3645614961116626	-0.8353653136383874	up	activation	-1	0	1.0481334074926705	-0.08095049285205047
SC_RS32025	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	lost_T3	maintained	maintained	1.8036833656121598	early	-2.276955921465654	0.9454863304711552	down	repression	0	0	1.975550952445758	2.0032761925653144
SC_RS33745	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	lost_T2	lost	gained	1.4929343829670028	early	-1.4625627834801054	0.4587894287044109	down	repression	-1	1	0.9829564695653582	3.0023433304192455
SC_RS33895	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	gained_T3	absent	gained	0.4651629157620227	gradual	1.2456809977015784	1.3680663772536314	up	activation	0	1	0.07566347434369433	2.9611915897054693
SC_RS34060	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	gained_T3	absent	gained	0.6240768021372495	early	1.6423366912164392	0.8463284664854133	up	activation	0	1	-0.01744285594072466	2.9370917774781167
SC_RS35195	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	lost_T3	maintained	lost	1.0095837993513466	early	-1.6493677294403373	0.0178767970304312	down	repression	0	-1	2.052656040067678	0.9161997509305209
SC_RS35525	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	lost_T2,lost_T3	lost	absent	0.9367296575371878	early	1.192730313621187	0.0734366711908918	up	activation	-1	0	0.9653167578783076	0.028398741321560363
SC_RS35610	1.0	1.0	2.0	1.0	1.0	2.0	0.0	0.0	0.0	gained_T3	maintained	maintained	0.8623079050223854	early	8.847923903643316	1.1669813937348958	up	activation	0	0	1.9289519963398876	1.9734147512168647
SC_RS36220	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	gained_T2,gained_T3	gained	maintained	0.6912790893654359	early	1.7717150262982868	0.5521066917272185	up	activation	1	0	3.053092481852982	2.0262647875566504
SC_RS36820	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	gained_T2	gained	lost	-2.6711868708137194	late	-2.6512168805872203	3.8576225840804703	up	activation	1	-1	2.9849092373294033	1.0189140785191102
SC_RS37675	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	gained_T3	absent	gained	0.20821590736631165	late	0.5193064994679604	1.806333858923331	up	activation	0	1	0.0064527032904571156	2.978961256123022
SC_RS38475	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	gained_T2	gained	lost	1.1562236367053231	early	9.530292574912137	-1.2501726968386992	up	activation	1	-1	2.95288025901707	1.0802993287011973
SC_RS38610	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	gained_T2	gained	lost	0.8964737173991557	early	1.459130272910083	0.1599291278340198	up	activation	1	-1	3.0482564659834415	1.0048183980960588
SC_RS38785	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	gained_T3	absent	gained	1.464293716934916	early	1.9106358305601812	-0.5664073237895176	up	activation	0	1	0.01709217197209498	2.999452778560289
SC_RS39850	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	gained_T2,gained_T3	gained	maintained	0.4998874372534377	gradual	0.841167050999035	0.7901142324995193	up	activation	1	0	3.0009660548399384	2.047072773557568
SC_RS40040	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	gained_T2	gained	lost		non-responder	-1.212956784482011	1.5320663078364756	up	activation	1	-1	3.036977501346204	1.0130486672344239
SC_RS40435	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	lost_T3	maintained	lost	0.7731515393184778	early	1.045517150533947	0.2863771174874613	up	activation	0	-1	1.9541192199561603	1.1182310602952175
SC_RS40740	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	gained_T2	gained	lost	0.970709380496657	early	3.323752560787572	0.095031730391289	up	activation	1	-1	3.1007921183298452	1.0134998105339783
