metric	exposed	shielded	test_p_value
n_total	57.0	353.0	
n_meaningful_change	55.0	255.0	
n_with_phase_ratio	55.0	255.0	
mean_phase_ratio	0.7708468085259477	0.8364544890898699	8.3316e-01
median_phase_ratio	0.7731515393184778	0.8104907376448898	
std_phase_ratio	0.7677096605208016	0.8512060026360518	
n_early	36.0	172.0	
n_late	12.0	56.0	
n_gradual	7.0	27.0	
n_nonresponder	2.0	98.0	
pct_early	63.1578947368421	48.725212464589234	chi2 p=8.9761e-01
pct_late	21.052631578947366	15.864022662889518	
pct_gradual	12.280701754385964	7.64872521246459	
early_fraction_of_responders	0.6545454545442645	0.6745098039213041	
