metric	activation	repression	MW_p_value
n_genes	35.0	26.0	
n_with_phase_ratio	33.0	26.0	
mean_phase_ratio	0.8145789511241638	0.961501849572026	4.5901e-01
median_phase_ratio	0.7762920243587681	0.8001255256438183	
std_phase_ratio	1.0309379928371476	0.6525101148109107	
n_early	21.0	18.0	
n_late	8.0	4.0	
n_gradual	4.0	4.0	
n_nonresponder	2.0	0.0	
mean_T1_z	-1.0285197656359488	1.2832186230078313	
mean_T2_z	0.23461493560115296	-0.47734810221305435	
mean_T3_z	0.7939048300347958	-0.805870520794777	
mean_LFC_T2vsT1	1.9089543552062764	-1.4700770386275412	
mean_LFC_T3vsT2	0.527700963263483	-0.21142058491619525	
mean_LFC_T3vsT1	2.4733072531531826	-1.6760830327342857	
