locus_tag	methyl_T1	methyl_T2	methyl_T3	6mA_T1	6mA_T2	6mA_T3	4mC_T1	4mC_T2	4mC_T3	methyl_change_str	early_methyl_transition	late_methyl_transition	phase_ratio	temporal_class	LFC_T2vsT1	LFC_T3vsT2	direction	bloc	early_methyl_code	late_methyl_code	early_methyl_pos	late_methyl_pos
SC_RS02455	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	gained_T2,gained_T3	gained	maintained	1.4922583824918676	early	1.9589972494364425	-0.623856565940799	up	activation	1	0	2.9291792770663223	2.0031211553945214
SC_RS03250	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	lost_T2,lost_T3	lost	absent	0.17243457446231514	late	0.1814637166824383	0.8539226174319321	up	activation	-1	0	1.0379145416464348	0.001589869587851842
SC_RS04270	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	lost_T2	lost	gained	0.6545872861295955	early	1.1733093432665949	0.5749148698210658	up	activation	-1	1	1.0021765311278072	2.945997876491485
SC_RS05075	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	gained_T3	absent	gained	-0.11004331022656438	late	-0.1773167519469067	1.81982970974484	up	unassigned	0	1	0.030622462096323733	2.9562523945883226
SC_RS05485	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	gained_T2,gained_T3	gained	maintained	-0.17458428738454546	late	-0.5006499103865119	3.456963191841523	up	activation	1	0	2.9109041351281064	2.004412902589005
SC_RS06045	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	gained_T3	absent	gained	0.9052396027984074	early	-1.3298006901673476	-0.1267510004473396	down	repression	0	1	-0.03101310046450021	3.0212488185321758
SC_RS06310	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	gained_T2,gained_T3	gained	maintained		non-responder	1.688781934919955	-1.3153794513162222	up	activation	1	0	3.0195637969274736	2.026737766690181
SC_RS07000	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	gained_T2,gained_T3	gained	maintained	-0.08604651676832947	late	0.1164734698130901	-1.4743243438897244	down	repression	1	0	3.021672224933142	2.0087050279377174
SC_RS07215	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	lost_T3	maintained	lost	0.14671340386714377	late	0.3469446698179995	1.8953912744782015	up	activation	0	-1	2.0067260006337677	1.038901963443502
SC_RS07750	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	gained_T3	absent	gained	1.221852589603508	early	6.811744535398193	-1.2005640163641866	up	activation	0	1	0.08096490059450698	3.001337018530821
SC_RS07910	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	gained_T2	gained	lost	1.3421920360113544	early	-2.8247283435391974	0.6681949956138334	down	repression	1	-1	3.0701152806943526	1.0342154479914205
SC_RS08090	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	gained_T2,gained_T3	gained	maintained	0.9983178020485081	early	4.584810932372193	0.0075584796089849	up	activation	1	0	3.049659989193983	1.9400691171455686
SC_RS09315	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	lost_T3	maintained	lost	0.9101645129896608	early	3.873766306591509	0.3669115166800192	up	activation	0	-1	1.9799283702884087	0.9515998244177087
SC_RS09835	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	lost_T2	lost	gained	3.218843375855785	early	3.559311712441188	-2.3768272483237896	up	activation	-1	1	0.9671521712705488	2.9525369480978516
SC_RS10435	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	lost_T2,lost_T3	lost	absent	0.6650041433727935	early	1.7289097130718962	0.7866689430693354	up	activation	-1	0	0.9355667923651949	-0.11359021381461461
SC_RS11515	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	gained_T3	absent	gained	0.8850342668034215	early	1.3069071437293096	0.1542427818451782	up	activation	0	1	-0.12282611388979148	2.922031534576554
SC_RS13145	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	lost_T2,lost_T3	lost	absent	1.3194891400093547	early	-2.60408418536578	0.5994424651540524	down	repression	-1	0	1.0904537323427477	0.032790308927823045
SC_RS13965	3.0	3.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	lost_T3	maintained	maintained	0.6700929959857305	early	-1.3457214719384083	-0.6491886596613835	down	repression	0	0	2.0604714166221023	2.004302951778468
SC_RS15270	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	lost_T3	maintained	lost	1.3369845632026647	early	-1.718484135527773	0.4092875807486069	down	repression	0	-1	2.0167115964523514	1.0296963718392158
SC_RS15485	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	lost_T2,lost_T3	lost	absent	2.013927756433532	early	-1.633740595502153	0.7853059515451751	down	repression	-1	0	1.0395558778853176	0.05727161787875201
SC_RS16855	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	lost_T2	lost	gained	0.5701224669376297	gradual	-1.6542997259922183	-1.1989992934315676	down	repression	-1	1	0.9730336818133951	3.0130640189392346
SC_RS17670	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	lost_T3	maintained	lost	0.3017535584334941	late	-0.3256079258555034	-0.7485784362192711	down	repression	0	-1	1.9536773749057046	0.9647253497333035
SC_RS17795	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	gained_T2	gained	lost	1.0774239890456716	early	3.4047840224669184	-0.234252241734791	up	activation	1	-1	3.0187594344092346	0.8980967815553051
SC_RS20775	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	gained_T3	absent	gained	0.6697576768164514	early	-0.6967113135206181	-0.333424791784365	down	repression	0	1	0.04512781994783718	3.058862324245313
SC_RS21680	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	gained_T2	gained	lost	0.7601853820077547	early	-2.5294364079004064	-0.7681195823990195	down	repression	1	-1	3.0653613731585834	1.0387880076380114
SC_RS22135	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	lost_T2,lost_T3	maintained	maintained	0.08201101696609976	late	0.2650411061157262	2.944306837725684	up	activation	0	0	1.9850893133348468	2.0376054939295907
SC_RS22780	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	lost_T2	lost	gained	1.0735530298270206	early	-3.79957961958281	0.2524424260109404	down	repression	-1	1	1.0899751424258541	3.0588270669323125
SC_RS22980	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	lost_T3	maintained	lost	0.01887934630448321	late	-0.0261795784401953	-1.3585403095207955	down	repression	0	-1	1.9309993855266994	0.990908637074687
SC_RS23710	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	gained_T3	absent	gained	0.6409760358103321	early	-0.7638015556801351	-0.4147283203422129	down	repression	0	1	-0.04596132582215601	2.896311772104171
SC_RS24380	0.0	1.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	gained_T2,gained_T3	gained	maintained	3.5375960480683153	early	2.1231739543915493	-1.4992048095719197	up	activation	1	0	3.059188440583126	1.9769372674479517
SC_RS24635	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	gained_T2,gained_T3	gained	maintained	1.9505264380056395	early	-2.524458093106345	1.1409822149957665	down	repression	1	0	3.0177051566180424	2.075947680825802
SC_RS25370	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	lost_T2	lost	gained	0.5339040033880598	gradual	-1.205765616879327	-1.0208117977361946	down	repression	-1	1	1.0229939742093173	2.9756519740785135
SC_RS25990	1.0	1.0	2.0	0.0	0.0	1.0	1.0	1.0	1.0	gained_T3	maintained	maintained	0.47039796938472395	gradual	-0.5614154947959401	-0.6199586204780211	down	repression	0	0	2.0909845290436837	1.9541649462108104
SC_RS26855	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	gained_T3	absent	gained	-0.7620493115040684	late	-1.018259879132294	2.4649977728846406	up	activation	0	1	-0.005467844773176893	2.9777543428584994
SC_RS26965	4.0	3.0	4.0	1.0	0.0	1.0	3.0	3.0	3.0	lost_T2	maintained	maintained	0.840065669279882	early	-1.272316820268741	-0.2292525955644305	down	repression	0	0	2.026645895339602	1.9603871175258445
SC_RS27105	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	lost_T2,lost_T3	maintained	maintained	0.7178906211922832	early	-1.7170840522337387	-0.6525903408810911	down	repression	0	0	1.923611569270573	2.0419593639187563
SC_RS27300	2.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	lost_T3	maintained	lost	2.0468949517187984	early	-2.2543700120671244	1.1134905586101698	down	repression	0	-1	2.114623630266531	0.9342164993961963
SC_RS28630	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	gained_T2,gained_T3	gained	maintained	0.005684534293807425	late	-0.0137258522464046	-2.4007926428058672	down	repression	1	0	2.9343183738548175	2.011131547648195
SC_RS29350	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	gained_T2	gained	lost	0.6972360027948611	early	1.0401395580980954	0.431082241011342	up	activation	1	-1	3.0290555568750985	1.0434221711257017
SC_RS29355	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	gained_T3	absent	gained	1.7214483962899088	early	-1.9216630018303835	0.7715661859598213	down	repression	0	1	0.03423007916362826	2.9984307103321384
SC_RS30140	2.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	lost_T2,lost_T3	maintained	maintained	0.40426672344210857	gradual	-0.5802055478802578	-0.8204713336253381	down	repression	0	0	1.9138411787605216	1.9299557310754765
SC_RS31385	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	lost_T2,lost_T3	lost	absent	2.932635185557703	early	3.2007683924803816	-2.079203850021943	up	activation	-1	0	0.9420008844119577	0.08693110222285226
SC_RS32025	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	lost_T3	maintained	maintained	2.019582478687108	early	-2.09236783247235	1.0031211312447983	down	repression	0	0	1.9863051696685037	2.096437792606366
SC_RS33075	2.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	lost_T2,lost_T3	maintained	lost	0.20990578455968636	late	0.9232644917721738	2.654344788259696	up	activation	0	-1	1.9714733368363746	1.0194651974897149
SC_RS33745	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	lost_T2	lost	gained	1.7633723577608378	early	-1.4114119775299854	0.589729371658387	down	repression	-1	1	0.9741069669843132	3.0587072384249567
SC_RS33895	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	gained_T3	absent	gained	0.4111826371178533	gradual	1.0792987194838373	1.4848719084247566	up	activation	0	1	-0.07925129211476596	3.0289419378338014
SC_RS34060	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	gained_T3	absent	gained	0.5537559380757149	gradual	1.425234745616793	0.9876257041600068	up	activation	0	1	0.05324447760419333	2.9477162336161524
SC_RS35195	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	lost_T3	maintained	lost	0.987906871619641	early	-1.5315166238060172	-0.0139660205760059	down	repression	0	-1	1.9376237757539012	0.9916609814038524
SC_RS35525	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	lost_T2,lost_T3	lost	absent	0.7762920243587681	early	1.0418397945969575	0.2807553435333729	up	activation	-1	0	0.9575044870245891	-0.07369574576372621
SC_RS35610	1.0	1.0	2.0	1.0	1.0	2.0	0.0	0.0	0.0	gained_T3	maintained	maintained	0.8357078353585387	early	6.6041010227398775	1.166591723956885	up	activation	0	0	1.9617645503347942	1.9578077088684713
