pathway_id	pathway_name	n_query	n_pathway	enrichment	odds_ratio	pvalue	gene_list	padj
sco04122	Sulfur relay system - Streptomyces coelicolor	1	14	1.2190688775510203	1.2364481156427465	0.5708949900982866	SC_RS29615	0.8841818159926477
sco00071	Fatty acid degradation - Streptomyces coelicolor	2	33	1.0343614718614718	1.0367423694488644	0.5841422891579087	SC_RS19225,SC_RS35850	0.8841818159926477
sco03070	Bacterial secretion system - Streptomyces coelicolor	1	15	1.137797619047619	1.1479705976350272	0.5960835441386388	SC_RS33050	0.8841818159926477
sco00020	Citrate cycle (TCA cycle) - Streptomyces coelicolor	2	36	0.9481646825396826	0.9448694275916645	0.6319976315472751	SC_RS26200,SC_RS28590	0.8841818159926477
sco00240	Pyrimidine metabolism - Streptomyces coelicolor	2	36	0.9481646825396826	0.9448694275916645	0.6319976315472751	SC_RS09390,SC_RS10810	0.8841818159926477
sco00270	Cysteine and methionine metabolism - Streptomyces coelicolor	2	36	0.9481646825396826	0.9448694275916645	0.6319976315472751	SC_RS17230,SC_RS21745	0.8841818159926477
sco03030	DNA replication - Streptomyces coelicolor	1	17	1.003939075630252	1.0041946308724832	0.6421204993254324	SC_RS12045	0.8841818159926477
sco00350	Tyrosine metabolism - Streptomyces coelicolor	1	17	1.003939075630252	1.0041946308724832	0.6421204993254324	SC_RS13155	0.8841818159926477
sco00920	Sulfur metabolism - Streptomyces coelicolor	1	18	0.9481646825396826	0.9449927622055534	0.6631363619944858	SC_RS26105	0.8841818159926477
sco00780	Biotin metabolism - Streptomyces coelicolor	1	18	0.9481646825396826	0.9449927622055534	0.6631363619944858	SC_RS26795	0.8841818159926477
sco00480	Glutathione metabolism - Streptomyces coelicolor	1	19	0.8982612781954886	0.8923688789460602	0.6829206973152078	SC_RS35475	0.889042688441839
sco03440	Homologous recombination - Streptomyces coelicolor	1	20	0.8533482142857143	0.8452843518191452	0.7015455206537141	SC_RS12045	0.889042688441839
sco03060	Protein export - Streptomyces coelicolor	1	21	0.8127125850340137	0.8029082774049217	0.7190786450632521	SC_RS33050	0.889042688441839
sco00710	Carbon fixation by Calvin cycle - Streptomyces coelicolor	1	21	0.8127125850340137	0.8029082774049217	0.7190786450632521	SC_RS11710	0.889042688441839
sco00362	Benzoate degradation - Streptomyces coelicolor	1	27	0.6321097883597884	0.617105489588711	0.8046785285591445	SC_RS35850	0.9531232394615956
