regulator	gene_id	log2FC	padj
BldA (SCO4009)	SC_RS22155	-0.853	2.1951535365169757e-06
BldD (SCO3778)	SC_RS21010	-2.913	2.533979830594303e-10
BldM (SCO3063)	SC_RS17430	0.479	0.0152036509707328
WhiA (SCO3579)	SC_RS20030	6.482	7.880005530781686e-164
WhiB (SCO3034)	SC_RS17285	-0.955	3.19000975089216e-07
