COG_letter	COG_name	n_query	n_query_total	n_cog_bg	n_bg_total	frac_query	frac_bg	enrichment	odds_ratio	pvalue	padj
O	Protein modification	17	448	193	7646	0.03794642857142857	0.025241956578603193	1.5033077350111026	1.573692259017085	0.05973598834304789	0.28466293320750613
L	Replication/Repair	13	448	138	7646	0.029017857142857144	0.01804865289040021	1.6077575051759834	1.691016091954023	0.06039913222096773	0.28466293320750613
J	Translation	14	448	152	7646	0.03125	0.019879675647397333	1.571957236842105	1.6503038803179055	0.061379542614406035	0.28466293320750613
U	Secretion	13	448	139	7646	0.029017857142857144	0.01817944023018572	1.5961909044193217	1.6773581463236635	0.06325842960166803	0.28466293320750613
E	Amino acid metabolism	22	448	297	7646	0.049107142857142856	0.0388438399162961	1.2642195767195767	1.300093896713615	0.15094261868277942	0.5433934272580059
M	Cell envelope	8	448	99	7646	0.017857142857142856	0.012947946638765367	1.379148629148629	1.4199800199800199	0.22304334110047397	0.6691300233014219
I	Lipid metabolism	5	448	66	7646	0.011160714285714286	0.008631964425843578	1.2929518398268398	1.3205417607223475	0.344198820889194	0.7715557536051071
F	Nucleotide metabolism	3	448	37	7646	0.006696428571428571	0.004839131572063824	1.383807915057915	1.4204890945142101	0.3700563739758699	0.7715557536051071
V	Defense	9	448	134	7646	0.020089285714285716	0.017525503531258174	1.1462886460554371	1.1600364464692483	0.38577787680255354	0.7715557536051071
C	Energy production	29	448	483	7646	0.06473214285714286	0.06317028511640073	1.0247245637385392	1.0281244414538497	0.473791109434449	0.7858657728592247
G	Carbohydrate metabolism	11	448	179	7646	0.024553571428571428	0.02341093382160607	1.04880786113328	1.053312629399586	0.4802513056361929	0.7858657728592247
Q	Secondary metabolism	1	448	15	7646	0.002232142857142857	0.0019618100967826314	1.137797619047619	1.1479705976350272	0.5960835441386388	0.8281949392558734
R	General function	154	448	2662	7646	0.34375	0.34815589850902434	0.987345041322314	0.97953216374269	0.5981407894625752	0.8281949392558734
P	Inorganic ion transport	27	448	486	7646	0.060267857142857144	0.06356264713575725	0.9481646825396827	0.9415956406315495	0.6451858048204873	0.8295246061977694
T	Signal transduction	17	448	340	7646	0.03794642857142857	0.04446769552707298	0.8533482142857143	0.8395408474783246	0.7874178693006493	0.9449014431607791
K	Transcription	40	448	798	7646	0.08928571428571429	0.104368297148836	0.8554869316147511	0.8329453153292979	0.877603478977168	0.980891614835993
S	Unknown	61	448	1260	7646	0.13616071428571427	0.16479204812974105	0.8262577947845804	0.788639542426613	0.962363939998396	0.980891614835993
H	Coenzyme metabolism	4	448	152	7646	0.008928571428571428	0.019879675647397333	0.4491306390977443	0.42914536157779404	0.980891614835993	0.980891614835993
