COG_letter	COG_name	n_query	n_query_total	n_cog_bg	n_bg_total	frac_query	frac_bg	enrichment	odds_ratio	pvalue	padj
C	Energy production	36	459	483	7646	0.0784313725490196	0.06317028511640073	1.241586489668331	1.283259555428626	0.10146341538770823	0.851641172032052
G	Carbohydrate metabolism	14	459	179	7646	0.030501089324618737	0.02341093382160607	1.3028565864582953	1.3388900238338441	0.18703078596447828	0.851641172032052
V	Defense	10	459	134	7646	0.02178649237472767	0.017525503531258174	1.2431307514714012	1.2685896975357425	0.2839322294578542	0.851641172032052
L	Replication/Repair	10	459	138	7646	0.02178649237472767	0.01804865289040021	1.207097976066433	1.2282502783964366	0.31536767703607277	0.851641172032052
U	Secretion	10	459	139	7646	0.02178649237472767	0.01817944023018572	1.1984138179652357	1.2185563094559833	0.323351009735241	0.851641172032052
I	Lipid metabolism	5	459	66	7646	0.010893246187363835	0.008631964425843578	1.2619660658876346	1.2865602657615367	0.36337082268741594	0.851641172032052
E	Amino acid metabolism	19	459	297	7646	0.04139433551198257	0.0388438399162961	1.0656602334162248	1.0731769130150426	0.42079613388322196	0.851641172032052
H	Coenzyme metabolism	10	459	152	7646	0.02178649237472767	0.019879675647397333	1.0959178993234722	1.1049593776467266	0.4295859919993903	0.851641172032052
S	Unknown	76	459	1260	7646	0.1655773420479303	0.16479204812974105	1.0047653629352975	1.006077552748571	0.5021238077100864	0.851641172032052
T	Signal transduction	20	459	340	7646	0.04357298474945534	0.04446769552707298	0.9798795335127516	0.9776480637813212	0.5723760195534997	0.851641172032052
D	Cell division	1	459	14	7646	0.002178649237472767	0.0018310227569971226	1.1898537192654841	1.2049042660396372	0.5799931179608605	0.851641172032052
Q	Secondary metabolism	1	459	15	7646	0.002178649237472767	0.0019618100967826314	1.1105301379811185	1.1186837180286962	0.6052529658193466	0.851641172032052
R	General function	157	459	2662	7646	0.3420479302832244	0.34815589850902434	0.9824562265009518	0.9716646177842989	0.6292236936851525	0.851641172032052
P	Inorganic ion transport	27	459	486	7646	0.058823529411764705	0.06356264713575725	0.925441781650932	0.9161220043572985	0.6947435823910517	0.851641172032052
K	Transcription	45	459	798	7646	0.09803921568627451	0.104368297148836	0.9393581994201189	0.9287487730238466	0.69949957037726	0.851641172032052
M	Cell envelope	5	459	99	7646	0.010893246187363835	0.012947946638765367	0.8413107105917564	0.8310291498734652	0.717171513290149	0.851641172032052
J	Translation	7	459	152	7646	0.015250544662309368	0.019879675647397333	0.7671425295264305	0.7521208422337504	0.8154556888779093	0.9113916522753104
F	Nucleotide metabolism	1	459	37	7646	0.002178649237472767	0.004839131572063824	0.4502149208031561	0.43370936438622026	0.8993601288151627	0.9493245804160051
O	Protein modification	5	459	193	7646	0.010893246187363835	0.025241956578603193	0.43155316242789576	0.41000796700721714	0.9919936595513432	0.9919936595513432
