GO_term	n_query	n_term_in_bg	n_query_total	n_bg_total	enrichment	odds_ratio	pvalue	gene_list	padj
GO:0019239	3	5	3197	7646	1.4349702846418517	2.0884470882905446	0.34917227641704995	SC_RS25395,SC_RS27030,SC_RS30525	0.9946689495497726
GO:0016773	3	5	3197	7646	1.4349702846418517	2.0884470882905446	0.34917227641704995	SC_RS03960,SC_RS14750,SC_RS23505	0.9946689495497726
GO:0008800	3	5	3197	7646	1.4349702846418517	2.0884470882905446	0.34917227641704995	SC_RS10040,SC_RS20990,SC_RS34125	0.9946689495497726
GO:0052621	3	5	3197	7646	1.4349702846418517	2.0884470882905446	0.34917227641704995	SC_RS16175,SC_RS23590,SC_RS28900	0.9946689495497726
GO:0006086	3	5	3197	7646	1.4349702846418517	2.0884470882905446	0.34917227641704995	SC_RS12955,SC_RS13890,SC_RS21285	0.9946689495497726
GO:0030655	3	5	3197	7646	1.4349702846418517	2.0884470882905446	0.34917227641704995	SC_RS10040,SC_RS20990,SC_RS34125	0.9946689495497726
GO:0004739	3	5	3197	7646	1.4349702846418517	2.0884470882905446	0.34917227641704995	SC_RS12955,SC_RS13890,SC_RS21285	0.9946689495497726
GO:0008422	3	5	3197	7646	1.4349702846418517	2.0884470882905446	0.34917227641704995	SC_RS14705,SC_RS16080,SC_RS35220	0.9946689495497726
GO:0009245	3	5	3197	7646	1.4349702846418517	2.0884470882905446	0.34917227641704995	SC_RS27605,SC_RS28760,SC_RS31690	0.9946689495497726
GO:0009002	3	5	3197	7646	1.4349702846418517	2.0884470882905446	0.34917227641704995	SC_RS11405,SC_RS21370,SC_RS32905	0.9946689495497726
GO:0006814	3	5	3197	7646	1.4349702846418517	2.0884470882905446	0.34917227641704995	SC_RS12395,SC_RS19955,SC_RS28410	0.9946689495497726
GO:0008080	30	67	3197	7646	1.0708733467476506	1.1295539303117452	0.3538502916401667	SC_RS06205,SC_RS08425,SC_RS09795,SC_RS10675,SC_RS12400,SC_RS13165,SC_RS13795,SC_RS14680,SC_RS15205,SC_RS15860,SC_RS16465,SC_RS16480,SC_RS17130,SC_RS17985,SC_RS18005,SC_RS19585,SC_RS22375,SC_RS22810,SC_RS23580,SC_RS23740,SC_RS24115,SC_RS28320,SC_RS28435,SC_RS29700,SC_RS30700,SC_RS30705,SC_RS31880,SC_RS32415,SC_RS40825,SC_RS40835	0.9946689495497726
GO:0051301	7	14	3197	7646	1.1958085705348767	1.392476489028213	0.358752714476662	SC_RS10860,SC_RS11405,SC_RS12485,SC_RS21365,SC_RS21370,SC_RS28690,SC_RS30155	0.9946689495497726
GO:0006812	7	14	3197	7646	1.1958085705348767	1.392476489028213	0.358752714476662	SC_RS05810,SC_RS08515,SC_RS15945,SC_RS17235,SC_RS20145,SC_RS31150,SC_RS34495	0.9946689495497726
GO:0003676	26	58	3197	7646	1.0721042356519581	1.1317604856512142	0.367057431839853	SC_RS07155,SC_RS09695,SC_RS10165,SC_RS12020,SC_RS12360,SC_RS13525,SC_RS14840,SC_RS15345,SC_RS15350,SC_RS16050,SC_RS16780,SC_RS16880,SC_RS17385,SC_RS22540,SC_RS22640,SC_RS23660,SC_RS23940,SC_RS25035,SC_RS25110,SC_RS27480,SC_RS28460,SC_RS31315,SC_RS31845,SC_RS31850,SC_RS32375,SC_RS35900	0.9946689495497726
GO:0016310	10	21	3197	7646	1.1388653052713111	1.2659383290070456	0.37127013850451857	SC_RS09140,SC_RS14750,SC_RS23505,SC_RS23600,SC_RS29300,SC_RS31725,SC_RS32625,SC_RS32665,SC_RS37245,SC_RS38470	0.9946689495497726
GO:0016866	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS26505,SC_RS36005	0.9946689495497726
GO:0006779	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS14845,SC_RS32445	0.9946689495497726
GO:0009691	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS27860,SC_RS30470	0.9946689495497726
GO:0005216	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS32060,SC_RS33875	0.9946689495497726
GO:0004476	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS17240,SC_RS17245	0.9946689495497726
GO:0004748	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS28315,SC_RS31265	0.9946689495497726
GO:0022627	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS19245,SC_RS21685	0.9946689495497726
