GO_term	n_query	n_term_in_bg	n_query_total	n_bg_total	enrichment	odds_ratio	pvalue	gene_list	padj
GO:0022857	12	175	438	7374	1.1544422700587083	1.1704830208243324	0.34565529546098595	SC_RS04150,SC_RS04155,SC_RS06445,SC_RS11955,SC_RS13750,SC_RS19175,SC_RS24475,SC_RS36680,SC_RS37865,SC_RS38945,SC_RS39180,SC_RS40865	0.5779787161716107
GO:0032196	1	7	438	7374	2.4050880626223092	2.643020594965675	0.348726348384459	SC_RS16745	0.5779787161716107
GO:0030001	1	7	438	7374	2.4050880626223092	2.643020594965675	0.348726348384459	SC_RS13765	0.5779787161716107
GO:0009228	1	7	438	7374	2.4050880626223092	2.643020594965675	0.348726348384459	SC_RS12560	0.5779787161716107
GO:0008033	1	7	438	7374	2.4050880626223092	2.643020594965675	0.348726348384459	SC_RS29625	0.5779787161716107
GO:0006355	29	451	438	7374	1.0825562676548308	1.0944854517433573	0.35383942718433803	SC_RS02625,SC_RS04145,SC_RS04870,SC_RS05065,SC_RS05550,SC_RS06415,SC_RS06435,SC_RS06715,SC_RS06810,SC_RS09290,SC_RS09835,SC_RS09895,SC_RS11810,SC_RS17945,SC_RS20835,SC_RS21605,SC_RS21770,SC_RS24205,SC_RS25540,SC_RS26645,SC_RS28370,SC_RS32840,SC_RS32850,SC_RS33415,SC_RS38325,SC_RS39960,SC_RS40315,SC_RS40860,SC_RS41190	0.5779787161716107
GO:0006412	5	66	438	7374	1.2754254877542548	1.301442471510241	0.3549151824368229	SC_RS07700,SC_RS15035,SC_RS15040,SC_RS25830,SC_RS32995	0.5779787161716107
GO:0016747	2	21	438	7374	1.6033920417482062	1.6699661999034283	0.35717785830829873	SC_RS16905,SC_RS24930	0.5779787161716107
GO:0000287	3	36	438	7374	1.4029680365296802	1.4426332288401253	0.3618391026477296	SC_RS15030,SC_RS17605,SC_RS35115	0.5802464889305935
GO:0008080	5	67	438	7374	1.2563892864444899	1.2802652164195782	0.3669294188426878	SC_RS06840,SC_RS09830,SC_RS15650,SC_RS24945,SC_RS35405	0.5831556835178432
GO:0016311	1	8	438	7374	2.1044520547945202	2.2651193200392283	0.3874473826463847	SC_RS37460	0.5945313285435903
GO:1902600	1	8	438	7374	2.1044520547945202	2.2651193200392283	0.3874473826463847	SC_RS40310	0.5945313285435903
GO:0070006	1	8	438	7374	2.1044520547945202	2.2651193200392283	0.3874473826463847	SC_RS08725	0.5945313285435903
GO:0009073	1	8	438	7374	2.1044520547945202	2.2651193200392283	0.3874473826463847	SC_RS10820	0.5945313285435903
GO:0006260	2	23	438	7374	1.4639666468135795	1.5104849279161205	0.40047565245438643	SC_RS19840,SC_RS36405	0.6063527661506951
GO:0003677	40	643	438	7374	1.0473167302243336	1.055526388159704	0.4019641932909102	SC_RS02625,SC_RS03135,SC_RS04870,SC_RS04975,SC_RS05065,SC_RS05550,SC_RS06415,SC_RS06435,SC_RS06715,SC_RS06810,SC_RS09290,SC_RS09560,SC_RS09835,SC_RS11810,SC_RS11820,SC_RS14615,SC_RS16745,SC_RS17945,SC_RS19000,SC_RS19230,SC_RS19840,SC_RS20835,SC_RS21510,SC_RS21515,SC_RS21770,SC_RS23070,SC_RS24205,SC_RS24270,SC_RS24490,SC_RS25540,SC_RS26645,SC_RS27150,SC_RS28370,SC_RS32850,SC_RS33415,SC_RS36410,SC_RS38325,SC_RS39960,SC_RS40315,SC_RS41190	0.6063527661506951
