controlled_for	r	p	n	delta_r	-log10p
(none)	-0.0607	1.8e-07	7374	0.0	6.7447274948966935
coexpr_BldA	0.0042	0.72099387	7374	0.0649	0.14206842770288905
coexpr_BldD	0.0035	0.76398624	7374	0.0642	0.11691446334300894
coexpr_BldM	0.0049	0.67444661	7374	0.06559999999999999	0.17105242390181638
coexpr_WhiA	0.0045	0.6969247	7374	0.0652	0.15681414319482534
coexpr_WhiB	0.0029	0.80387655	7374	0.06359999999999999	0.09481064002052954
all_MRs	0.0046	0.69452628	7374	0.0653	0.15831131645905094
