GO_term	n_query	n_term_in_bg	n_query_total	n_bg_total	enrichment	odds_ratio	pvalue	gene_list	padj
GO:0006413	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS25785	0.9971874490241959
GO:0004523	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS13525	0.9971874490241959
GO:0009898	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS22885	0.9971874490241959
GO:0009097	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS29830	0.9971874490241959
GO:1901576	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS40605	0.9971874490241959
GO:0016712	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS05935	0.9971874490241959
GO:0000315	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS21545	0.9971874490241959
GO:0006520	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS28950	0.9971874490241959
GO:0071111	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS16175	0.9971874490241959
GO:0019213	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS05950	0.9971874490241959
GO:0006207	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS09385	0.9971874490241959
GO:0004370	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS06000	0.9971874490241959
GO:0042597	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS07640	0.9971874490241959
GO:0006635	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS32370	0.9971874490241959
GO:0031179	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS23305	0.9971874490241959
GO:0004368	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS26030	0.9971874490241959
GO:0047429	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS26775	0.9971874490241959
GO:0004340	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS12675	0.9971874490241959
GO:0019184	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS40605	0.9971874490241959
