pathway_id	pathway_name	n_query	n_pathway	enrichment	odds_ratio	pvalue	gene_list	padj
sco00680	Methane metabolism - Streptomyces coelicolor	2	30	1.122374429223744	1.1317169069462647	0.5394082382266709	SC_RS10540,SC_RS17605	0.8169023716715483
sco03018	RNA degradation - Streptomyces coelicolor	1	13	1.2950474183350895	1.3203661327231122	0.5491968608597223	SC_RS17605	0.8169023716715483
sco00460	Cyanoamino acid metabolism - Streptomyces coelicolor	1	13	1.2950474183350895	1.3203661327231122	0.5491968608597223	SC_RS34415	0.8169023716715483
sco00640	Propanoate metabolism - Streptomyces coelicolor	2	32	1.0522260273972601	1.0559633027522937	0.5748334896585899	SC_RS35120,SC_RS35125	0.8169023716715483
sco00053	Ascorbate and aldarate metabolism - Streptomyces coelicolor	1	14	1.2025440313111546	1.2186234817813766	0.5760209031017328	SC_RS10545	0.8169023716715483
sco04122	Sulfur relay system - Streptomyces coelicolor	1	14	1.2025440313111546	1.2186234817813766	0.5760209031017328	SC_RS29625	0.8169023716715483
sco00040	Pentose and glucuronate interconversions - Streptomyces coelicolor	1	15	1.122374429223744	1.131415495259889	0.6012522678356247	SC_RS09295	0.8227662612487496
sco00541	Biosynthesis of various nucleotide sugars - Streptomyces coelicolor	1	15	1.122374429223744	1.131415495259889	0.6012522678356247	SC_RS33185	0.8227662612487496
sco03430	Mismatch repair - Streptomyces coelicolor	1	16	1.0522260273972601	1.0558352402745996	0.6249853167129171	SC_RS19840	0.8277063763517444
sco00270	Cysteine and methionine metabolism - Streptomyces coelicolor	2	36	0.9353120243531202	0.9311926605504587	0.6396008868238965	SC_RS11950,SC_RS36410	0.8277063763517444
sco00020	Citrate cycle (TCA cycle) - Streptomyces coelicolor	2	36	0.9353120243531202	0.9311926605504587	0.6396008868238965	SC_RS35120,SC_RS35125	0.8277063763517444
sco03030	DNA replication - Streptomyces coelicolor	1	17	0.9903303787268332	0.9897025171624714	0.6473088327879026	SC_RS19840	0.8277063763517444
sco00780	Biotin metabolism - Streptomyces coelicolor	1	18	0.9353120243531202	0.931350114416476	0.6683063496071089	SC_RS41195	0.8385688117552728
sco00410	beta-Alanine metabolism - Streptomyces coelicolor	1	19	0.8860850757029559	0.8794813119755912	0.6880564609274032	SC_RS10545	0.8385688117552728
sco00300	Lysine biosynthesis - Streptomyces coelicolor	1	19	0.8860850757029559	0.8794813119755912	0.6880564609274032	SC_RS09900	0.8385688117552728
sco04146	Peroxisome - Streptomyces coelicolor	1	20	0.8417808219178081	0.8330723834758521	0.7066331122005232	SC_RS15975	0.8479597346406278
sco00670	One carbon pool by folate - Streptomyces coelicolor	1	22	0.7652552926525529	0.7535142203334423	0.7405402046647429	SC_RS12555	0.8751838782401508
sco00310	Lysine degradation - Streptomyces coelicolor	1	23	0.7319833234067897	0.7191595589764926	0.755997684310668	SC_RS10545	0.8756559766449789
sco00561	Glycerolipid metabolism - Streptomyces coelicolor	1	24	0.7014840182648402	0.687792259476669	0.7705362524336349	SC_RS10545	0.8756559766449789
sco00333	Prodigiosin biosynthesis - Streptomyces coelicolor	1	25	0.6734246575342465	0.6590389016018307	0.7842104186151405	SC_RS41195	0.8756559766449789
sco00230	Purine metabolism - Streptomyces coelicolor	3	69	0.7319833234067896	0.7178683385579937	0.7862231130265642	SC_RS05375,SC_RS09280,SC_RS09540	0.8756559766449789
sco00362	Benzoate degradation - Streptomyces coelicolor	1	26	0.6475237091675448	0.6325858123569794	0.7970714659204294	SC_RS12570	0.8756559766449789
sco00061	Fatty acid biosynthesis - Streptomyces coelicolor	1	29	0.5805384978743505	0.564563582870219	0.8312442514977252	SC_RS41195	0.8766658152743142
sco00330	Arginine and proline metabolism - Streptomyces coelicolor	1	29	0.5805384978743505	0.564563582870219	0.8312442514977252	SC_RS10545	0.8766658152743142
sco00620	Pyruvate metabolism - Streptomyces coelicolor	2	53	0.6353062806926854	0.6192660550458715	0.8317085939781955	SC_RS10540,SC_RS10545	0.8766658152743142
sco00190	Oxidative phosphorylation - Streptomyces coelicolor	2	66	0.5101701951017019	0.49254587155963303	0.9101797342615856	SC_RS34675,SC_RS38395	0.946586923632049
sco00650	Butanoate metabolism - Streptomyces coelicolor	1	46	0.36599166170339487	0.350419527078566	0.9407336747885701	SC_RS15975	0.9654898241251114
sco00630	Glyoxylate and dicarboxylate metabolism - Streptomyces coelicolor	1	55	0.30610211706102114	0.29163488431222984	0.9659767252263239	SC_RS35110	0.9708061892021048
sco02020	Two-component system - Streptomyces coelicolor	3	115	0.43918999404407383	0.42019704433497534	0.9708061892021048	SC_RS27815,SC_RS33065,SC_RS37470	0.9708061892021048
