cls	n	n_de	frac	lo	hi	median_abs_lfc
Exposed	59	27	0.4576271186440678	0.3370110214024243	0.583423849765719	0.8557136270428685
Shielded	960	435	0.453125	0.4218840320461241	0.48473962893717437	0.9038390204732837
