timepoint	n	in_core	frac	lo	hi
T1	1289	1070	0.8301008533747091	0.8086252393813851	0.8496147182437408
T2	1595	1052	0.6595611285266457	0.6359471889265883	0.6824083004477185
T3	1073	737	0.6868592730661697	0.6584843798968326	0.7139009365693961
