bgc_name	gene_id	old_locus_tag	gene_name	product	bgc_role	baseMean	log2FoldChange_2_vs_1	padj_2_vs_1	log2FoldChange_3_vs_1	padj_3_vs_1	log2FoldChange_3_vs_2	padj_3_vs_2	norm_M145_1_1	norm_M145_1_2	norm_M145_1_3	norm_M145_2_1	norm_M145_2_3	norm_M145_2_4	norm_M145_3_2	norm_M145_3_3	norm_M145_3_4
act	SC_RS27515	SCO5071		nuclear transport factor 2 family protein	biosynthesis	681.1596590132609	1.24633732616446	0.1025718489342979	11.33944914956524	8.522600213715649e-27	9.334074170607888	6.98989833063374e-51	0.0	1.164042375469615	0.8930041245981248	3.6797200510175054	1.4104398310666626	3.731881879198659	1554.833251715517	2958.7244386785096	1606.0001524639713
act	SC_RS27520	SCO5072		3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein	biosynthesis	4495.036298288627	1.6050095836143912	0.0002129588739613309	10.892241142255408	2.527546177747066e-158	9.144022538007633	1.2778561208538199e-185	7.626602749719009	9.31233900375692	4.465020622990624	18.398600255087526	26.79835679026659	24.879212527991054	10746.453260921064	18321.374108095973	11296.019183630804
act	SC_RS27525	SCO5073		quinone oxidoreductase family protein	biosynthesis	2659.6717447812957	1.0052736106236175	0.0065957805799004	8.611226971620342	6.786719925715309e-130	7.509024032650517	2.5362317402149755e-112	29.416896320344748	9.31233900375692	20.539094865756873	49.06293401356674	47.954954256266525	31.099015659988822	5800.791221769048	11428.605583732717	6520.2636634102155
act	SC_RS27530	SCO5074		hypothetical protein	biosynthesis	5015.7783315822835	1.7267121382991433	6.488991124607168e-05	10.867722381003082	5.390511280933042e-153	9.00840994953344	2.5724345635515308e-163	2.179029357062574	10.476381379226536	10.7160494951775	31.890907108818386	25.387916959199924	28.61109440718972	12035.259258411948	21668.91578567059	11328.568561451331
act	SC_RS27535	SCO5075		NADP-dependent oxidoreductase	biosynthesis	4664.0060475200125	1.0452559451933645	0.0006437011489382198	8.95466927920362	1.5575303737509818e-215	7.846546805273743	3.68066066794961e-192	23.969322927688314	24.444889884861915	33.934156734728745	62.55524086729759	60.64891273586649	55.97822818797989	10782.544485783048	19025.832307781333	11906.146882777315
act	SC_RS27540	SCO5076		MFS transporter	biosynthesis	3003.1208867022897	1.2149238029343046	1.599212607658745e-06	5.764206995301499	3.156812981348246e-118	4.500654743503694	8.198334580117752e-75	141.63690820906731	168.78614444309417	151.81070118168122	337.30767134327135	362.48303658413226	405.5311642062543	6377.668703030777	12150.538715503291	6932.32493581904
act	SC_RS27545	SCO5077		PPOX class F420-dependent oxidoreductase	biosynthesis	988.1585922153104	2.0782913377319443	1.8539355383982545e-13	5.424960901490119	1.0914830893859566e-84	3.287074364916155	1.3214458449305077e-35	57.74427796215821	50.05382214519344	72.33333409244811	251.44753681952955	283.4984060443992	257.4998496647075	1923.3130152257836	3829.194493173442	2168.3425948101312
act	SC_RS27550	SCO5078		DUF6081 family protein	biosynthesis	3947.016942892759	1.6991290041587663	1.1961908827727948e-10	7.223983298845959	9.917087773020967e-172	5.474992473227411	9.684067457784602e-109	68.63942474747108	83.81105103381228	75.90535059084061	247.76781676851203	279.26708655119916	238.84044026871416	8183.976295720125	16191.616760210003	10153.32826014415
act	SC_RS27555	SCO5079		NmrA/HSCARG family protein	biosynthesis	3089.776498272898	1.4447110627908997	3.7281607100575967e-06	8.288223317244007	2.886690545457848e-169	6.77351802515178	1.2700534721153045e-134	27.237866963282173	27.93701701127076	31.25514436093437	80.95384112238511	97.32034834359972	69.66179507837496	6817.16668320495	13102.922514147684	7553.533274223603
act	SC_RS27560	SCO5080	actVA	actinorhodin polyketide dimerase ActVA	biosynthesis	4804.432963450797	1.6087260311127491	6.053188035380332e-08	8.38583179192141	2.0899787612258524e-185	6.714577649245036	1.93613318475478e-136	37.04349907006376	44.23361026784536	44.650206229906246	143.50908198968273	139.63354327559958	118.17625950795754	9895.981010544288	20711.071070749567	12105.59838942226
act	SC_RS27565	SCO5081		antibiotic biosynthesis monooxygenase	biosynthesis	1340.2629342116495	-0.160935131907637	0.6563970227925459	6.12408325268824	1.3852964762441308e-85	6.301054640479805	3.7560895704096065e-85	72.99748346159623	43.06956789237575	49.11522685289687	62.55524086729759	55.00715341159984	28.61109440718972	2887.2979889588037	5475.114658949933	3388.597993103153
act	SC_RS27570	SCO5082	actII	TetR family transcriptional regulator ActII	regulator	1530.5710523418986	-0.8299871201264029	0.0013098396526155	2.5950361467035115	1.2009819406248371e-24	3.473700450913632	4.747243057541226e-41	536.0412218373932	650.6996878875148	591.1687304839587	310.3230576358096	324.40116114533237	335.8693691278793	2787.756062323329	5457.639726864714	2781.240453771155
act	SC_RS27575	SCO5083		MFS transporter	biosynthesis	7440.611790597761	-1.4687563772126313	9.491116754254408e-07	7.650774631333633	1.9849450067480533e-189	9.176632074020992	2.9181027179661297e-217	110.04098253165998	112.91211042055264	105.37448670257874	35.57062715983589	40.90275510093321	37.31881879198659	18488.60311034689	31954.005501076837	16080.777723248562
act	SC_RS27580	SCO5084		MMPL family transporter	biosynthesis	8007.982435984327	-1.768552089846399	1.3646169198481685e-08	7.651215977481651	1.0533120488418204e-179	9.487931447599452	2.1692892514376705e-212	107.8619531745974	125.7165765507184	117.87654444695248	28.21118705780087	40.90275510093321	29.85505503358927	18857.664990387188	34695.38547194545	18068.36739016171
act	SC_RS27585	SCO5085		AfsR/SARP family transcriptional regulator	transport	2568.5231577665613	1.9854878028690233	4.664076720967501e-14	6.435870540124959	6.340036627731633e-136	4.401681273271182	4.3009237815193156e-70	96.96680638928454	79.15488153193381	73.22633821704623	332.4013779419147	356.8412772598656	328.405605369482	5725.698189394918	10429.257905109298	5694.756038685311
act	SC_RS27590	SCO5086		3-oxoacyl-ACP reductase	transport	6156.38855232916	1.7441447828977934	4.7080826147847056e-05	11.105699808385983	4.495349197686715e-162	9.2277358983701	6.86529112615449e-172	6.537088071187722	8.148296628287305	9.823045370579374	28.21118705780087	39.49231526986655	23.635251901591506	12878.16399389831	27016.245003747365	15397.240789017453
act	SC_RS27595	SCO5087		beta-ketoacyl-[acyl-carrier-protein] synthase family protein	resistance	3453.499692668899	1.415688330363807	0.0008091443101114333	10.00695369830058	6.006864083553254e-135	8.46374587628064	4.17538562581971e-130	5.447573392656435	6.984254252817689	16.074074242766248	28.21118705780087	25.387916959199924	32.34297628638838	7226.976720347489	15435.825947524318	8304.246583956654
act	SC_RS27600	SCO5088		ketosynthase chain-length factor	biosynthesis	1832.356460884262	1.4172458085396251	0.0020325493471884	9.66355085117524	8.14447485196653e-108	8.092203066775841	2.5674696659236564e-113	5.447573392656435	8.148296628287305	6.2510288721868745	23.3048936564442	14.104398310666625	21.1473306487924	3825.087718840383	8108.368487541253	4479.348420067688
act	SC_RS27605	SCO5089		acyl carrier protein	biosynthesis	434.4961189798293	0.3301751778177041	0.5797439505065637	10.16612622316572	5.945453449712093e-31	9.450870047937403	8.997153659676828e-34	0.0	1.164042375469615	1.7860082491962497	2.453146700678337	0.0	2.487921252799106	983.7769357541084	1808.6554708200856	1110.141545666126
act	SC_RS27610	SCO5090		aromatase/cyclase	biosynthesis	2188.5680677689907	0.4572023291793345	0.2664891864050023	8.980642417444969	5.831969291532206e-129	8.43612523678872	9.648423415273855e-121	18.52174953503188	9.31233900375692	10.7160494951775	13.492306853730854	19.746157634933276	22.391291275191954	4524.209671408835	9474.689739954252	5604.033304760007
act	SC_RS27615	SCO5091		MBL fold metallo-hydrolase	biosynthesis	1708.9634438486216	0.7699355049212259	0.0610163056694146	8.915130894432423	3.6828874695949866e-123	8.036928731363771	1.051865815063494e-118	8.716117428250296	11.64042375469615	10.7160494951775	13.492306853730854	26.79835679026659	17.41544876959374	3690.036683872955	7200.7642023652315	4401.091405307692
act	SC_RS27620	SCO5092	actVB	actinorhodin polyketide dimerase ActVB	biosynthesis	788.4014515399533	-0.2304729116500555	0.6619610641488134	8.380921630823952	5.667585175282901e-83	8.671460259172843	5.185594733725247e-68	4.358058714125148	6.984254252817689	8.930041245981249	9.812586802713348	2.820879662133325	3.731881879198659	1694.541218923201	3380.307175234399	1984.1269671450095
cda	SC_RS18165	SCO3210		class II 3-deoxy-7-phosphoheptulonate synthase	biosynthesis	1094.1610986174223	6.449309847372913	4.614519347468652e-103	6.485834319528666	2.959174841732627e-104	0.0362029543431894	0.8926880430403226	26.14835228475089	16.29659325657461	12.502057744373747	1757.6796110360283	1741.8931913673282	1333.5257915003208	1360.9884472148551	2068.5950855877063	1529.820757564861
cda	SC_RS18170	SCO3211	trpC	indole-3-glycerol phosphate synthase TrpC	biosynthesis	452.4531438031381	8.094473663617313	4.6878447198894226e-49	7.558109437677517	4.578506037456309e-43	-0.5123104616207453	0.0154000083158052	4.358058714125148	4.65616950187846	0.0	791.1398109687636	923.838089348664	685.4223051461537	507.6056141879187	664.0474192382923	491.01082712244744
cda	SC_RS18175	SCO3212	trpD	anthranilate phosphoribosyltransferase	biosynthesis	546.219887320307	7.495622029344387	1.1994829182363048e-62	7.429777919010467	1.2832627196686034e-61	-0.0630686399655564	0.7750544316680432	4.358058714125148	3.4921271264088447	5.3580247475887495	841.4293183326696	940.763367321464	723.9850845645399	696.2113699182921	967.6743642189588	732.7072709387156
cda	SC_RS18180	SCO3213		anthranilate synthase component II	biosynthesis	126.3974858998354	8.617187977550634	3.367435760753434e-13	8.679556312080038	1.8949966524207685e-13	0.0495013958142944	0.8558563688896139	1.089514678531287	0.0	0.0	195.02516270392775	198.8720161803994	162.95884205834145	154.8429969885165	239.18813291642437	185.60070757237787
cda	SC_RS18185	SCO3214		anthranilate synthase component I family protein	biosynthesis	710.1831704061633	5.116009107745247	1.3580960050007178e-98	4.779529272667223	2.146597480342206e-86	-0.321777989933355	0.1077862638360395	32.68544035593861	44.23361026784536	24.111111364149373	1236.385937141882	1238.3661716765296	1032.487319911629	909.2660199100104	1079.077056262225	795.0358667652605
