threshold	n_both	n_A_only	n_C_only	n_neither	OR	CI_lower	CI_upper	p_value	co_mod_rate
0.5	1018	37815	886	222	0.00674533	0.0057495	0.00791363	0	0.0254876
0.55	753	33813	828	4547	0.122294	0.110276	0.135622	1.00927e-314	0.0188528
0.6	546	30854	735	7806	0.187941	0.167778	0.210528	2.31363e-179	0.0136702
0.65	409	28195	650	10687	0.238503	0.210332	0.270446	1.42155e-113	0.0102401
0.7	279	24559	576	14527	0.286515	0.247983	0.331033	7.25429e-70	0.0069853
0.75	199	21172	486	18084	0.349743	0.296207	0.412956	6.40347e-39	0.00498235
0.8	112	17063	411	22355	0.357022	0.289435	0.440392	2.38569e-25	0.00280414
0.85	59	14039	307	25536	0.349567	0.264363	0.462233	3.60885e-16	0.00147718
0.9	15	9707	215	30004	0.215649	0.127705	0.364154	1.32573e-12	0.000375554
