threshold	n_both	n_A_only	n_C_only	n_neither	OR	CI_lower	CI_upper	p_value	co_mod_rate
0.5	878	454	0	0		0.038288	97.5781	1	0.659159
0.55	707	619	3	3	1.14216	0.229686	5.67966	1	0.530781
0.6	526	770	8	28	2.39091	1.08128	5.28676	0.037036	0.394895
0.65	371	826	34	101	1.33425	0.887719	2.00538	0.199198	0.278529
0.7	193	630	111	398	1.09844	0.842669	1.43185	0.502324	0.144895
0.75	74	297	152	809	1.32611	0.97457	1.80446	0.0737578	0.0555556
0.8	17	83	137	1095	1.63706	0.943378	2.84082	0.101423	0.0127628
0.85	5	15	89	1223	4.58052	1.62751	12.8916	0.0104315	0.00375375
0.9	0	1	52	1279	0	0.327016	201.813	1	0
