metric	value
alpha	0.050000
test	two-sided exact binomial
H1_p_co_mod (T1 observed)	0.316000
depth_min_filter	10
prob_threshold	0.500000
freq_cut	0.500000
marginals_source	T3
p_A (T3 if available)	0.058559
p_C (T3 if available)	0.041291
p_co_mod_observed_T3_filtered	0.041291
n_T3_sites_depth_filtered	1332
p_A_used_for_H0	0.058559
p_C_used_for_H0	0.041291
H0_p_co_mod (independence)	0.002418
n_for_power_calc	59
power_at_n59	1.000000
min_n_for_power_0_80	5
