bin	start	PC_M	FIRE_M	PC_L	FIRE_L	center	core	m_n_T1	m_fq_T1	m_n_T2	m_fq_T2	methyl_bin
334	1670000.0	0.801208771980196	1.02367272727273	0.567093203	0.970781818181818	1672500.0	0	1.0	85.18	2.0	168.37	1
335	1675000.0	0.846935938609028	0.986763636363636	0.619657501	0.950136363636363	1677500.0	0	0.0	0.0	1.0	71.43	0
336	1680000.0	0.83317798250865	0.995781818181818	0.695443677	0.963363636363636	1682500.0	0	3.0	280.82	3.0	271.79	1
337	1685000.0	0.814140251823092	1.04408181818182	0.687909056	0.986981818181818	1687500.0	0	0.0	0.0	0.0	0.0	0
338	1690000.0	0.877983398965474	1.04999090909091	0.530783658	0.993009090909091	1692500.0	0	0.0	0.0	0.0	0.0	0
339	1695000.0	0.863288379692696	1.10081818181818	0.656708338	1.01472727272727	1697500.0	0	0.0	0.0	0.0	0.0	0
340	1700000.0	0.836973078746868	1.12659090909091	0.596143893	1.03217272727273	1702500.0	0	0.0	0.0	0.0	0.0	0
341	1705000.0	0.861069210680388	1.10822727272727	0.659715719	1.0405	1707500.0	0	0.0	0.0	0.0	0.0	0
342	1710000.0	0.851590495402697	1.10808181818182	0.656168481	1.0358	1712500.0	0	1.0	97.62	1.0	93.4	1
343	1715000.0	0.771938636060891	1.11836363636364	0.580861798	1.04306363636364	1717500.0	0	3.0	256.94	2.0	185.95	1
344	1720000.0	0.69504079749217	1.13339090909091	0.435943223	1.05451818181818	1722500.0	0	3.0	258.47	3.0	253.73000000000002	1
345	1725000.0	0.62685893368451	1.13048181818182	0.390089048	1.03753636363636	1727500.0	0	1.0	92.96	3.0	218.55	1
346	1730000.0	0.579445037480236	1.15889090909091	0.214293629	1.05740909090909	1732500.0	0	1.0	90.6	1.0	89.07	1
347	1735000.0	0.624848594770165	1.14726363636364	0.236582816	1.05491818181818	1737500.0	0	1.0	73.89	2.0	174.75	1
348	1740000.0	0.671972402242383	1.11191818181818	0.357091506	1.03697272727273	1742500.0	0	1.0	88.68	1.0	91.24	1
349	1745000.0	0.476034309774959	1.13865454545455	0.462267016	1.04252727272727	1747500.0	0	0.0	0.0	0.0	0.0	0
350	1750000.0	0.657172683266246	1.08202727272727	0.506650871	1.00497272727273	1752500.0	0	0.0	0.0	0.0	0.0	0
351	1755000.0	0.719763929259673	1.04867272727273	0.603453657	0.981181818181818	1757500.0	0	0.0	0.0	0.0	0.0	0
352	1760000.0	0.737513784594814	1.01353636363636	0.510843571	0.953963636363636	1762500.0	0	3.0	241.0	3.0	269.61	1
353	1765000.0	0.722555895607059	0.993909090909091	0.503518823	0.957763636363636	1767500.0	0	1.0	76.31	1.0	65.0	1
354	1770000.0	0.829313064508758	0.94	0.595191726	0.940781818181818	1772500.0	0	0.0	0.0	0.0	0.0	0
355	1775000.0	0.860492880407432	0.913963636363636	0.619259531	0.941472727272727	1777500.0	0	0.0	0.0	0.0	0.0	0
356	1780000.0	0.922221081354176	0.910590909090909	0.84726142	0.953009090909091	1782500.0	0	0.0	0.0	0.0	0.0	0
357	1785000.0	0.943264158251409	0.878036363636364	0.779791186	0.953254545454545	1787500.0	0	0.0	0.0	0.0	0.0	0
358	1790000.0	0.706634354251577	0.914827272727273	0.735867456	0.961309090909091	1792500.0	0	0.0	0.0	0.0	0.0	0
359	1795000.0	0.7130038283911	0.893927272727273	0.723766909	0.950154545454545	1797500.0	0	2.0	167.54	1.0	82.42	1
360	1800000.0	0.697956790171309	0.880318181818182	0.712870906	0.935890909090909	1802500.0	0	0.0	0.0	0.0	0.0	0
361	1805000.0	0.703986846875167	0.878581818181818	0.705600716	0.940881818181818	1807500.0	0	2.0	158.32	1.0	81.89	1
362	1810000.0	0.784296531553014	0.864954545454545	0.663910099	0.9216	1812500.0	0	0.0	0.0	0.0	0.0	0
363	1815000.0	0.725203105410637	0.874872727272727	0.579121626	0.908481818181818	1817500.0	0	0.0	0.0	0.0	0.0	0
364	1820000.0	0.707997939122229	0.890127272727273	0.413350069	0.896381818181818	1822500.0	0	0.0	0.0	0.0	0.0	0
365	1825000.0	0.756545436459675	0.911854545454545	0.401499916	0.896636363636364	1827500.0	0	1.0	63.81	0.0	0.0	1
366	1830000.0	0.681932431814482	0.924481818181818	0.45509917	0.900254545454545	1832500.0	0	1.0	83.55	0.0	0.0	1
367	1835000.0	0.71958129495914	0.950127272727273	0.630155926	0.931854545454545	1837500.0	0	1.0	83.41	1.0	93.98	1
368	1840000.0	0.750997659824795	0.980272727272727	0.566411259	0.927072727272727	1842500.0	0	1.0	91.9	2.0	168.92000000000002	1
369	1845000.0	0.841790084932316	0.965245454545455	0.574808996	0.910490909090909	1847500.0	0	1.0	91.7	1.0	93.15	1
370	1850000.0	0.830351656941814	0.989927272727273	0.509097885	0.923172727272727	1852500.0	0	1.0	82.08	1.0	78.76	1
371	1855000.0	0.826936600214443	1.01738181818182	0.455605805	0.964309090909091	1857500.0	0	1.0	94.75	1.0	95.24	1
372	1860000.0	0.785308589482906	1.04893636363636	0.412303366	0.981045454545454	1862500.0	0	2.0	169.96	3.0	260.03	1
373	1865000.0	0.469806090291224	1.06323636363636	0.075579144	1.01473636363636	1867500.0	0	0.0	0.0	0.0	0.0	0
374	1870000.0	0.545375985598997	1.08966363636364	0.451220778	1.06753636363636	1872500.0	0	0.0	0.0	1.0	83.77	0
375	1875000.0	0.536187697327125	1.08018181818182	0.263807505	1.06568181818182	1877500.0	0	1.0	84.43	1.0	86.67	1
376	1880000.0	0.654635470242413	1.05016363636364	0.351374522	1.04456363636364	1882500.0	0	0.0	0.0	0.0	0.0	0
377	1885000.0	0.60485385623144	1.05797272727273	0.325351072	1.04861818181818	1887500.0	0	0.0	0.0	1.0	88.5	0
378	1890000.0	0.636604014846053	1.06136363636364	0.283160303	1.03089090909091	1892500.0	0	1.0	81.25	1.0	86.81	1
379	1895000.0	0.537714861936009	1.0347	0.291041775	1.01690909090909	1897500.0	0	1.0	100.0	3.0	229.03	1
380	1900000.0	0.508195236654381	1.00878181818182	0.304430313	1.02189090909091	1902500.0	0	1.0	97.44	1.0	96.97	1
381	1905000.0	0.585763642011899	1.01402727272727	0.300966726	1.0325	1907500.0	0	0.0	0.0	0.0	0.0	0
382	1910000.0	0.540142043991504	1.00985454545455	0.355981332	1.02219090909091	1912500.0	0	0.0	0.0	1.0	82.74	0
383	1915000.0	0.543074208554818	1.01230909090909	0.496953848	1.01584545454545	1917500.0	0	0.0	0.0	0.0	0.0	0
384	1920000.0	0.349834425139766	1.04242727272727	0.488649704	1.01966363636364	1922500.0	0	1.0	77.89	1.0	84.56	1
385	1925000.0	0.385032607285072	1.07857272727273	0.168219065	1.02578181818182	1927500.0	0	1.0	51.03	1.0	70.85	1
386	1930000.0	0.621495077451119	1.1289	0.297854606	1.06218181818182	1932500.0	0	0.0	0.0	0.0	0.0	0
387	1935000.0	0.549688947504796	1.19221818181818	-0.052243572	1.10418181818182	1937500.0	0	0.0	0.0	0.0	0.0	0
388	1940000.0	0.577698820610531	1.21954545454545	-0.043745663	1.11322727272727	1942500.0	0	2.0	187.88	2.0	169.63	1
389	1945000.0	0.627396337682148	1.21392727272727	0.158729082	1.14238181818182	1947500.0	0	0.0	0.0	0.0	0.0	0
390	1950000.0	0.141028339698511	1.21641818181818	-0.082804259	1.15817272727273	1952500.0	0	0.0	0.0	0.0	0.0	0
391	1955000.0	0.178533097565406	1.22129090909091	-0.150015018	1.16836363636364	1957500.0	0	1.0	72.53	1.0	57.59	1
392	1960000.0	0.428683861948266	1.20102727272727	0.284581797	1.14809090909091	1962500.0	0	0.0	0.0	0.0	0.0	0
393	1965000.0	0.633651920377914	1.15679090909091	0.582349935	1.10949090909091	1967500.0	0	1.0	84.57	1.0	81.99	1
394	1970000.0	0.721464493637288	1.10884545454545	0.716934834	1.07116363636364	1972500.0	0	1.0	76.15	1.0	84.04	1
395	1975000.0	0.743721054117358	1.07716363636364	0.755799587	1.05152727272727	1977500.0	0	0.0	0.0	0.0	0.0	0
396	1980000.0	0.77201881454668	0.997209090909091	0.78392133	1.00121818181818	1982500.0	0	0.0	0.0	0.0	0.0	0
397	1985000.0	0.737207811421804	0.931554545454545	0.801850804	0.966190909090909	1987500.0	0	2.0	160.72	2.0	143.57	1
398	1990000.0	0.763048988704845	0.878609090909091	0.801994525	0.938272727272727	1992500.0	0	0.0	0.0	0.0	0.0	0
399	1995000.0	0.835508076300636	0.839290909090909	0.773635895	0.919972727272727	1997500.0	0	0.0	0.0	0.0	0.0	0
400	2000000.0	0.88474430423671	0.836063636363636	0.865174904	0.902490909090909	2002500.0	0	0.0	0.0	0.0	0.0	0
401	2005000.0	0.934339176609022	0.858609090909091	0.889190177	0.906890909090909	2007500.0	0	1.0	92.07	1.0	88.39	1
402	2010000.0	0.73785698734722	0.922490909090909	0.654089812	0.953445454545454	2012500.0	0	3.0	254.14	2.0	183.82	1
403	2015000.0	0.74439451761625	0.955154545454545	0.644643183	0.970290909090909	2017500.0	0	4.0	286.7	1.0	87.04	1
404	2020000.0	0.710016088939007	0.992754545454546	0.584750676	1.00727272727273	2022500.0	0	2.0	185.16	2.0	184.59	1
405	2025000.0	0.626668536039688	1.03155454545455	0.408334274	1.04105454545455	2027500.0	0	1.0	71.52	1.0	95.14	1
406	2030000.0	0.528662122631182	1.05869090909091	0.196357238	1.06952727272727	2032500.0	0	2.0	185.44	2.0	182.89	1
407	2035000.0	0.329290485302233	1.08386363636364	-0.153592991	1.08370909090909	2037500.0	0	2.0	187.7	2.0	180.88	1
408	2040000.0	0.316380049378014	1.09263636363636	-0.029736936	1.07684545454545	2042500.0	0	0.0	0.0	0.0	0.0	0
409	2045000.0	0.287635318826666	1.09685454545455	-0.006841939	1.08485454545455	2047500.0	0	1.0	78.14	1.0	63.33	1
410	2050000.0	0.193682124913917	1.09447272727273	-0.16385908	1.07935454545455	2052500.0	0	0.0	0.0	0.0	0.0	0
411	2055000.0	0.30720382992419	1.06846363636364	-0.223148677	1.05691818181818	2057500.0	0	1.0	92.18	1.0	89.41	1
