temporal_pattern	n_exposed	n_shielded	pct_exposed	pct_shielded
constitutive	0	363	0.0	36.6
T2_up	2	69	3.2	6.9
T3_up	9	92	14.5	9.3
T2T3_up	22	114	35.5	11.5
T2_down	3	78	4.8	7.9
T3_down	8	85	12.9	8.6
T2T3_down	16	149	25.8	15.0
T2_up_T3_down	0	1	0.0	0.1
T2_down_T3_up	2	4	3.2	0.4
other_dynamic	0	0	0.0	0.0
no_data	0	38	0.0	3.8
