gene_id	gene_name	old_locus_tag	product	tf_family	norm_M145_1_1	norm_M145_1_2	norm_M145_1_3	norm_M145_2_1	norm_M145_2_3	norm_M145_2_4	norm_M145_3_2	norm_M145_3_3	norm_M145_3_4	z_M145_1_1	z_M145_1_2	z_M145_1_3	z_M145_2_1	z_M145_2_3	z_M145_2_4	z_M145_3_2	z_M145_3_3	z_M145_3_4	T2_up_DEG	T2_LFC	T2_padj	T3_LFC	T3_padj	ward_cluster_order	ward_k3_cluster
SC_RS02455		SCO0089	LysR family transcriptional regulator	LysR	34.53590608371008	24.495655602730153	33.312695017548	131.17202122954458	136.5825733712514	114.25856940675057	87.1974611426488	85.63358815460396	82.71391195076761	-1.0729126570790657	-1.595619489647398	-1.1280558199488957	0.9949596275451746	1.0581185287406163	0.7794035657972276	0.35813460437049244	0.3299703616095144	0.27600127861233803	True	1.996267814330596	1.1875814630760875e-14	1.4151139437264222	4.047469838684222e-08	47	3
SC_RS03250		SCO0266	helix-turn-helix domain-containing protein	HTH (other)	4.1861704343891	14.474705583431454	5.979201669816308	20.35427915630864	11.59663358812512	16.802730795110374	38.8301194150858	21.1303659082789	34.53105062022337	-1.6940621673994465	-0.0821277946217815	-1.256227155572378	0.3927264310628666	-0.3855452070075008	0.12451538961068716	1.3118841391286746	0.445363745240325	1.1434726195585572	False	0.8492831427730276	0.0761919609304948	1.8138026166426493	0.00011926975241316052	34	3
SC_RS04270		SCO0471	helix-turn-helix domain-containing protein	HTH (other)	11.511968694570026	14.474705583431454	16.229261675215692	36.18538516677092	51.54059372500053	42.566918014279615	69.48547684804826	60.054724160371606	68.25905355160434	-1.5225383482047867	-1.2103834110835143	-1.0526287724913446	0.0773430036898875	0.5850698901078526	0.3099778377197256	1.0166390218226238	0.805663652422282	0.9908571260172732	True	1.526311821195577	1.2402162782138632e-05	2.150294020513286	1.7432049136714117e-10	38	3
SC_RS05075		SCO0632	sigma-70 family RNA polymerase sigma factor	Sigma factor	6.279255651583651	5.567194455165944	6.833373336932923	3.3923798593847736	6.442574215625066	10.081638477066225	21.11813512048526	21.1303659082789	20.076192221060097	-0.58780095056833	-0.7582966986504683	-0.4662920420376897	-1.4244592783470695	-0.5510521667446168	0.1082490265971972	1.2528853416070622	1.2538009447502478	1.1729658233936642	False	0.0641306457114918	0.9094625049096164	1.5296542367865764	0.0020928281790021	30	2
SC_RS05485		SCO0712	helix-turn-helix transcriptional regulator	HTH (other)	12.558511303167302	15.588144474464643	10.250060005399384	3.3923798593847736	7.731089058750079	4.480728212029433	88.55992147300269	43.37285633804616	97.97181803877328	-0.2521446611428458	-0.07634631451397664	-0.41483902426178304	-1.2346717258709037	-0.6357996181168301	-1.041707033315089	1.3935257543085526	0.7813506361351313	1.4806319867777473	False	-1.092554429792889	0.0335251373144556	2.499640246635073	1.647101613805465e-09	28	2
SC_RS06045		SCO0823	GntR family transcriptional regulator	GntR	100.46809042533842	94.64230573782103	111.89648839227662	37.31617845323251	34.78990076437535	47.04764622630905	50.41103222309384	31.139486601674168	50.59200439707145	1.216502849657357	1.0925278490291186	1.4402755024979979	-0.8253980588624157	-0.9684053838082417	-0.35087488030329456	-0.20901409073151742	-1.1939672780078476	-0.20164650947116705	False	-1.3086139961011785	3.2905704431435153e-06	-1.1500230272906309	1.496924088724813e-05	8	1
SC_RS06310		SCO0877	helix-turn-helix transcriptional regulator	HTH (other)	305.5904417104043	288.3806727775959	299.814255157932	930.6428747578896	992.1564292062602	933.1116501551296	395.7947259678044	507.1287817986936	353.34098309065774	-0.8937475825223216	-1.0035505949240344	-0.9298985417025711	1.2187607563547176	1.340288925986722	1.2237907912523815	-0.4035449816676952	0.06652833866609233	-0.6186271114432885	True	1.6553679271158672	3.922442782716455e-21	0.4744709027952047	0.0076794949314642	42	3
SC_RS06430		SCO0897	PPC domain-containing DNA-binding protein	Other regulatory	6.279255651583651	10.0209500192987	9.39588833828277	26.0082455886166	20.616237490000213	13.4421846360883	33.38027809367025	45.597105381022885	31.318859864853753	-1.5302072761975172	-0.8777923852833024	-0.9696336862782112	0.532119505777376	0.18182575382046898	-0.45253465771214574	0.9117385979192029	1.3900049043277736	0.8144792436263553	True	1.0725951660655857	0.0157850735216154	1.956663306729379	5.749117375339759e-06	40	3
SC_RS07000		SCO1008	ArsR/SmtB family transcription factor	ArsR	252.2167686719433	232.70872822593643	292.9808818209991	275.91356189662827	311.8205920362532	245.31986960861147	106.27190576760324	141.23981422902213	86.72915039497963	0.5099648599650152	0.33908264899110846	0.8281297919878546	0.7006468295119461	0.9605274781994302	0.45110390276868495	-1.3207270102480537	-0.7193321860620082	-1.7493963151139713	False	0.0924621478190691	0.7011306550014702	-1.1975473018234468	4.0473301064871396e-08	12	1
SC_RS07215		SCO1052	helix-turn-helix domain-containing protein	HTH (other)	1.046542608597275	1.1134388910331887	2.5625150013498463	0.0	2.5770296862500266	0.0	32.6990479284933	12.233369736371994	32.12190755369616	-0.5808750963630271	-0.5574048876841169	-0.1763965430508618	-1.1034445758427125	-0.17342961768968954	-1.1034445758427125	1.463220976841636	0.7811585068418165	1.4506158127896671	False	-0.4278173498979656	0.4869021347174306	3.667213510345267	5.0651250908907485e-06	29	2
