trend	mod_type	timepoint	mean	sem	count
mono_dec	4mC	T1	0.25312855517633676	0.012208222433900207	1758
mono_dec	4mC	T2	0.267349260523322	0.01270194142969155	1758
mono_dec	4mC	T3	0.1945392491467577	0.010575680714375525	1758
mono_dec	6mA	T1	0.19397042093287828	0.011589198911283861	1758
mono_dec	6mA	T2	0.2366325369738339	0.012994428451238852	1758
mono_dec	6mA	T3	0.25199089874857794	0.01348119909430661	1758
mono_inc	4mC	T1	0.20375	0.012244536183701324	1600
mono_inc	4mC	T2	0.28625	0.013509104184675628	1600
mono_inc	4mC	T3	0.171875	0.0104938704040459	1600
mono_inc	6mA	T1	0.219375	0.012378227606711404	1600
mono_inc	6mA	T2	0.218125	0.013007586288298444	1600
mono_inc	6mA	T3	0.24625	0.01429740696214354	1600
other	4mC	T1	0.19238095238095237	0.006832886474970433	4725
other	4mC	T2	0.24063492063492065	0.007505515880112956	4725
other	4mC	T3	0.15492063492063493	0.005943907072103955	4725
other	6mA	T1	0.19195767195767197	0.00713681125290794	4725
other	6mA	T2	0.20761904761904762	0.007499328220673817	4725
other	6mA	T3	0.22835978835978835	0.00801136632217315	4725
