gene_id	T1	T2	T3	trend
SC_RS02180	91.98000491527215	90.7784954195699	43.905453145462694	mono_dec
SC_RS02220	89.05015438068439	151.92072083490038	242.03771314345417	mono_inc
SC_RS02230	0.3711462970110629	0.7503251131563164	32.59786874832704	mono_inc
SC_RS02240	0.3711462970110629	1.9266180962028931	25.499092620826662	mono_inc
SC_RS02245	12.143035074960508	34.215071765074974	36.3433227406652	mono_inc
SC_RS02270	3.03645192755905	5.83242814082982	19.45448841951088	mono_inc
SC_RS02280	3.055978053095328	3.476305096918589	36.12215835199749	mono_inc
SC_RS02285	15.20178576333153	23.692834791796155	39.86603548738231	mono_inc
SC_RS02300	78.88632335261752	50.69562473548434	25.883468802858328	mono_dec
SC_RS02305	48.60114013830929	42.386080431513676	20.53270786131203	mono_dec
SC_RS02335	44.6491655317491	45.389417431915945	59.089501954154805	mono_inc
SC_RS02340	5.807706091615507	11.058586728944457	43.81819743170931	mono_inc
SC_RS02345	1.8111339634313721	8.095711817268024	29.416561056989767	mono_inc
SC_RS02350	1.0688413694092462	5.839502296465976	29.230878604962612	mono_inc
SC_RS02355	2.294159333536925	4.2827411401141235	35.172457195396404	mono_inc
SC_RS02360	8.241973798644914	19.145527287061302	87.13374820534939	mono_inc
SC_RS02390	5.071344037179402	19.377045162854333	48.43358605690644	mono_inc
SC_RS02405	4.018870888996106	18.38105386263268	49.79289267335364	mono_inc
SC_RS02415	2.1153839780065216	2.6314435127742244	35.74842816251316	mono_inc
SC_RS02420	1.0047177222490264	3.91642127808116	32.0513356865411	mono_inc
SC_RS02440	14.878394892254738	26.708426426481765	36.45384063018785	mono_inc
SC_RS02450	20.672505397919988	39.09565064301509	40.02701369356806	mono_inc
SC_RS02460	1.4399876664203093	2.7259799837622727	16.77910794873773	mono_inc
SC_RS02490	27.17790656193368	30.19703986036961	42.79030660831945	mono_inc
SC_RS02510	1.353565258448118	3.4904534081908998	19.936368124458458	mono_inc
SC_RS02515	4.959464964084912	27.125480166432812	54.0137890056084	mono_inc
SC_RS02535	1.3981627800720606	5.253972895609236	28.654119209369185	mono_inc
SC_RS02555	6.313030222533031	7.417485919726293	26.284136825362264	mono_inc
SC_RS02565	0.6558701860499347	25.8966133311651	34.325124919452456	mono_inc
SC_RS02570	1.203019203315707	19.252372095018607	38.10579745192755	mono_inc
SC_RS02575	0.0	16.932977488541187	28.774491574333116	mono_inc
SC_RS02580	1.4622864272322804	9.221270922396515	54.09381407619056	mono_inc
SC_RS02585	6.028306333494158	10.502711609885374	43.68284359809345	mono_inc
SC_RS02590	2.90227409365259	4.558061608977117	39.73054995551464	mono_inc
SC_RS02595	1.9930672232721027	5.311923799951511	46.258745505612524	mono_inc
SC_RS02600	16.756810407156657	67.17482004664066	185.89690243332475	mono_inc
SC_RS02605	11.883767851043935	43.29984359771654	193.9978133133933	mono_inc
SC_RS02625	67.87367408959047	163.96672417838928	342.672806819639	mono_inc
SC_RS02635	5.045887372057103	33.09842678988569	48.249348763580805	mono_inc
SC_RS02650	5.85823415282547	8.797000156021276	25.832873699314025	mono_inc
SC_RS02665	8.632646221192253	20.09383947213293	171.57833078246236	mono_inc
SC_RS02670	69.46247330436498	80.06514895653798	89.47639942261549	mono_inc
SC_RS02690	92.31802950079668	76.34031948325996	61.90956879064144	mono_dec
SC_RS02705	28.807492534558957	14.270182590454288	10.760784850216702	mono_dec
SC_RS02725	19.262481538675885	22.206475747543866	39.41043688522948	mono_inc
SC_RS02730	17.17255422579166	31.876634110254127	33.29565723910926	mono_inc
SC_RS02740	4.329051443157276	10.734229485678403	35.78167651197552	mono_inc
SC_RS02750	2.6653056305479876	20.535652756810524	42.928814155842	mono_inc
SC_RS02755	4.3422617600728985	319.76597676815794	1989.3164383119745	mono_inc
SC_RS02760	6.661877758732122	21.19667558031189	97.96366152505384	mono_inc
SC_RS02765	3.433054889692412	15.341327869058583	105.40107615048983	mono_inc
SC_RS02770	11.14740579660783	33.10550094552185	89.07560455152331	mono_inc
SC_RS02775	15.310892201150324	45.885305098855746	158.21549285914944	mono_inc
SC_RS02780	12.366407952114855	1385.0521615917878	10396.2349342698	mono_inc
SC_RS02785	11.70221986023784	1306.464993331709	5194.830446129038	mono_inc
SC_RS02790	14.68286604646375	966.0105551066227	3120.3410453127435	mono_inc
SC_RS02795	16.555351021779646	98.24414276949625	240.27051094996114	mono_inc
SC_RS02800	30.781033632294776	398.9304926547743	2857.4948926812444	mono_inc
SC_RS02805	0.3711462970110629	434.17154944613065	3648.894077329807	mono_inc
SC_RS02810	2.927730758774888	34.893779977666725	147.5519529850086	mono_inc
SC_RS02815	22.177001980535152	109.92605925440823	414.09886096177365	mono_inc
SC_RS02820	5.263714978660062	508.64645295597705	3047.532181035733	mono_inc
SC_RS02835	3.711848239145263	394.6959665297513	3737.986654266906	mono_inc
SC_RS02845	4.808918908952502	1126.7589664114541	4589.401912009424	mono_inc
SC_RS02850	1.2894416112878984	215.06989892125853	1182.9376756974618	mono_inc
SC_RS02855	3.427124350106391	714.7567891301657	5256.2615236606	mono_inc
SC_RS02860	0.3711462970110629	1.9372293296571261	32.83624819282489	mono_inc
SC_RS02870	1.331266497636147	3.0574113826644846	39.70571401142141	mono_inc
SC_RS02875	335.38118499506345	146.6979564538158	85.05826245735072	mono_dec
SC_RS02880	273.58453663361036	113.10330255272832	82.97843329495446	mono_dec
SC_RS02905	311.47715825261656	149.43604820107336	71.61670674664659	mono_dec
SC_RS02910	859.8494538471505	402.7833892851232	125.20814549956451	mono_dec
SC_RS02915	2394.586298638685	1146.3901628077695	289.3972835364122	mono_dec
SC_RS02935	13.134157211259279	190.35322293853497	373.51229675118356	mono_inc
SC_RS02940	16.059500603793108	338.9952864219651	981.860772720167	mono_inc
SC_RS02945	5.043114736781409	557.8858197786407	2303.972602276112	mono_inc
SC_RS02950	5.522982202576635	1166.8073776649217	6411.808335011622	mono_inc
SC_RS02955	3.4748797760406607	990.2940463108267	5418.721738884332	mono_inc
SC_RS02965	161.55758935683045	1206.8192739802223	1742.3739369083876	mono_inc
SC_RS02970	30.13109398583087	2473.048838086093	6867.192476251795	mono_inc
SC_RS02975	0.0	6.540790635219229	36.08181899590867	mono_inc
SC_RS02980	0.2847238890388718	22.909461189812145	96.83550855959682	mono_inc
SC_RS02985	7.253624297621838	530.719484494329	3231.484232010737	mono_inc
SC_RS02990	3.03645192755905	534.911708556323	3316.8089749760275	mono_inc
SC_RS02995	2.2718605727249535	179.44857053007092	825.5977694117823	mono_inc
SC_RS03000	3.8428681687413966	53.49913468966824	166.9742479686668	mono_inc
SC_RS03005	5.871829738775727	133.3420193446144	282.539130139915	mono_inc
SC_RS03010	4.8252871301784515	690.1961376005905	1844.8572322158316	mono_inc
SC_RS03015	9.516396426450443	213.2508581064279	423.780892072328	mono_inc
SC_RS03020	2.927730758774888	299.2510104605199	1562.1935144727386	mono_inc
SC_RS03025	15.015730630471525	3044.2166744414353	5806.276291674374	mono_inc
SC_RS03030	6.338486887655328	715.3799941348199	787.4680482041971	mono_inc
SC_RS03045	4.8029883693664805	76.51674464400482	81.01634957662269	mono_inc
SC_RS03050	1.7947657422054222	11.209234129971726	35.48981473515969	mono_inc
SC_RS03055	437.5262944241128	365.38710853154595	152.4489476395661	mono_dec
SC_RS03095	13.195508223143804	25.06052300617191	44.317423890738816	mono_inc
SC_RS03105	63.374550465764514	84.24259952142178	91.0287508325129	mono_inc
SC_RS03110	8.581732890947658	24.96598653518386	44.16788010557709	mono_inc
SC_RS03125	13.71720057528728	24.019032009365265	48.111629644534936	mono_inc
SC_RS03135	16.97148010944929	20.526881497659346	34.40252615776455	mono_inc
SC_RS03150	140.16817387022215	83.27369005527976	74.25095634422486	mono_dec
SC_RS03155	239.58046076004007	77.97712935506556	62.81104012912823	mono_dec
SC_RS03160	687.5191481640683	150.4239471306678	106.5841645452593	mono_dec
SC_RS03185	74.73354222014318	51.828597440510976	41.17304329474364	mono_dec
SC_RS03190	22.93843543105892	53.5828633537281	66.3009027097678	mono_inc
SC_RS03220	130.17907207669964	124.1221060814709	100.52510875692822	mono_dec
SC_RS03225	12.712482853038253	20.519807342023196	31.633452608207033	mono_inc
SC_RS03250	8.213359229212289	16.251214513181377	31.497178647862686	mono_inc
SC_RS03255	2.6207081089240454	7.236701921851348	35.4829791867439	mono_inc
SC_RS03275	5.417033669068167	12.234879711991036	32.34162060640358	mono_inc
SC_RS03285	3.5135467580785824	13.251611164071134	36.29811802683517	mono_inc
SC_RS03290	10.047177222490264	25.100788521423794	42.58491211678034	mono_inc
SC_RS03340	6.726001405892341	29.097937403482685	69.5217644173466	mono_inc
SC_RS03345	31.897630427638294	65.88984228133373	80.4787429252566	mono_inc
SC_RS03350	343.92653187721027	116.6702140136639	82.94558004024753	mono_dec
SC_RS03370	1.660587908298961	5.6273669132783555	45.78356656219955	mono_inc
SC_RS03375	2.9500295195868595	5.480256590069167	19.74989724395463	mono_inc
SC_RS03385	5.132309780029295	6.866844982000306	61.69944063961291	mono_inc
SC_RS03390	11.116018591899511	15.711184808909627	30.653525117798463	mono_inc
SC_RS03395	16.67316063446016	17.371396566188736	55.8226471042693	mono_inc
SC_RS03425	3.298877055785951	43.173473426365796	46.50238055294344	mono_inc
SC_RS03435	2.4447053886693357	16.077504670942588	22.111076977500556	mono_inc
SC_RS03440	40.06323423091631	812.3727964569306	854.7393828542912	mono_inc
SC_RS03445	3.670023352797014	7.299887007526721	47.83711462180105	mono_inc
SC_RS03470	3.382526828482449	4.0215689825234415	48.64462948499986	mono_inc
SC_RS03475	1.724711555459181	3.9128842002630826	28.526257654393977	mono_inc
SC_RS03485	2.3582829806971444	9.629553403196388	52.53633876171188	mono_inc
SC_RS03490	10.287303589905195	69.53448016836997	120.41325015190178	mono_inc
SC_RS03495	19.33569362973245	41.70063750754775	53.601554863828646	mono_inc
SC_RS03500	14.046521985950093	40.56141240619697	45.51667242772876	mono_inc
SC_RS03510	1.203019203315707	3.8673845036780965	245.06789710404692	mono_inc
SC_RS03515	2.4701620537916344	14.540268877984182	467.40853375597607	mono_inc
SC_RS03520	19.857385981875925	32.24125686877207	366.236099913558	mono_inc
SC_RS03525	19.697751482847167	24.245172833037163	60.61911930888538	mono_inc
SC_RS03530	0.5694477780777436	10.534545310248074	26.300038420742677	mono_inc
SC_RS03545	0.3488475361990917	10.199576833527784	19.188251015264942	mono_inc
SC_RS03560	36.9435177996954	56.29164026345003	62.75624433636054	mono_inc
SC_RS03580	8.191060468400316	11.510671802814295	53.56160575283169	mono_inc
SC_RS03590	28.37776786093906	54.98592234628464	101.99256003917509	mono_inc
SC_RS03600	77.71392081594088	72.55380545434762	69.44607173423965	mono_dec
SC_RS03615	80.03908208515149	50.36773041440021	48.499684572446334	mono_dec
SC_RS03620	2.294159333536925	5.683477843317573	71.24560038943231	mono_inc
SC_RS03635	34.30051092995938	45.05628892949871	49.66818483228513	mono_inc
SC_RS03650	10.504745927473518	15.867209262058026	40.96002482631206	mono_inc
SC_RS03655	15.387262196517222	22.65672084711065	44.958048214693946	mono_inc
SC_RS03660	7.468293999914468	11.538968425358917	34.68177483998784	mono_inc
SC_RS03665	22.832872166585087	35.47005580432227	66.7999974705455	mono_inc
SC_RS03670	41.47221996166294	87.32462757802477	111.36329484545702	mono_inc
SC_RS03675	21.14960022843952	36.194263713499005	59.00632316966596	mono_inc
SC_RS03680	7.209026775997895	27.027406617626692	48.88406075447801	mono_inc
SC_RS03685	1.7724669813934508	5.257509973427314	13.35639879724774	mono_inc
SC_RS03695	177.83961813992013	125.13699755924796	83.37555118120109	mono_dec
SC_RS03705	33.51362081431331	47.02011777818544	76.89335186203927	mono_inc
SC_RS03720	6.008780207957881	10.083817895631269	39.86748064608384	mono_inc
SC_RS03735	8.715910724854117	14.370096113563472	19.976973965680276	mono_inc
SC_RS03740	9.017002835118939	20.360245811056714	32.69642718485263	mono_inc
SC_RS03755	3.1065061143052914	4.610635461198258	81.77773166097005	mono_inc
SC_RS03760	1.203019203315707	6.971992686442587	90.77906690420862	mono_inc
SC_RS03765	0.6976950723981834	6.489913886513109	69.12989904530366	mono_inc
SC_RS03780	4.329051443157276	584.4425267686232	1109.4537115495518	mono_inc
SC_RS03785	17.45134757524451	19.033305426982867	79.68331921330666	mono_inc
SC_RS03800	3.6477245919850425	23.20552181053358	28.981987954798615	mono_inc
SC_RS03810	14.878394892254738	40.0422657245717	54.818281853152335	mono_inc
SC_RS03940	9.176637334147697	12.045324454964915	29.1421777325077	mono_inc
SC_RS03955	21.339198534644485	1265.132319204818	1276.5854003761037	mono_inc
SC_RS03980	74.24077554667844	97.03553377103695	99.40680850587832	mono_inc
SC_RS03985	2.819009589990726	3.3817686259305404	19.64240445871624	mono_inc
SC_RS03990	1.747010316271152	13.739067016121746	20.634156615240673	mono_inc
SC_RS04005	5.855461517549776	14.715675823737994	61.93217114755645	mono_inc
SC_RS04010	106.16625000568007	94.72442810866067	85.98023426382612	mono_dec
