category	hotspot_genes	hotspot_frac	genome_genes	genome_frac	odds_ratio	fisher_p
secondary metabolism/biosynthesis	20	0.037	236	0.03	1.279	0.2930538519384682
other	238	0.445	3138	0.399	1.224	0.02809133958957723
regulation/signaling	59	0.11	825	0.105	1.062	0.6612009808565302
hypothetical	58	0.108	890	0.113	0.949	0.7774356272761022
enzyme/metabolism	110	0.206	1866	0.237	0.821	0.0822258490379539
transport	37	0.069	652	0.083	0.811	0.2556659149613813
mobile/MGE	6	0.011	115	0.015	0.751	0.7071312567773104
defense/RM/modification	7	0.013	141	0.018	0.712	0.49856297321905696
