stratum	n	kw_H	kw_p_naive	spearman_rho	spearman_p_naive
pooled	7496	61.034074568739015	1.7585895528618608e-12	-0.08698702842195498	4.545983654819223e-14
core	4943	5.2281948852087226	0.2646742939779126	-0.015044931325465914	0.2902613905843696
arm	2553	10.586858224236494	0.03162134154182176	-0.01861167089354526	0.3472089066226174
