prob_bin_center	AAGCCCG_A_6mA	AAGCCCG_C_4mC
0.025	0.0	0.0
0.07500000000000001	0.0	0.0
0.125	0.0	0.0
0.17500000000000002	0.0	0.0
0.225	0.0	0.0
0.275	0.0	0.0
0.32500000000000007	0.0	0.0
0.375	0.0	0.0
0.42500000000000004	0.0	3.0
0.475	0.0	25.0
0.525	5886.0	233.0
0.5750000000000001	4041.0	208.0
0.625	3499.0	165.0
0.675	4402.0	146.0
0.7250000000000001	3832.0	109.0
0.775	4195.0	119.0
0.8250000000000001	2886.0	109.0
0.875	3686.0	96.0
0.925	3776.0	76.0
0.9750000000000001	3574.0	93.0
