window_bp	n_exposed	mwu_p	cliff_delta
100	15	0.512220249695621	-0.09853917662682603
150	27	0.598724493238417	-0.059326463560334525
200	38	0.9350769147295069	-0.007806212779655561
250	51	0.662526503889798	0.0362380489385837
300	60	0.8689076539883398	-0.012704205769899201
350	69	0.9619863726168048	0.0034477498093058736
400	84	0.7456831650768503	-0.021352177234530176
450	90	0.5666491964247355	-0.03655065183590479
500	100	0.8634983351297267	-0.010467899891186072
