gene_id,mod_type,methyl_change,methyl_category,log2FC,padj,coordination,correlation_type
SC_RS02090,4mC,-90.79,Lost,-2.1587889055421576,2.5901919498219063e-11,Lost_Down,Positive
SC_RS02600,6mA,52.47,Gained,1.709245311325067,3.603812388122147e-08,Gained_Up,Positive
SC_RS02810,6mA,-53.83,Lost,1.4560179645722784,2.498506021756188e-05,Lost_Up,Negative
SC_RS03020,6mA,50.21,Gained,1.9819494320290116,1.5081264174124594e-10,Gained_Up,Positive
SC_RS03540,4mC,-66.76,Lost,-3.1029808970042057,1.5645390982457114e-40,Lost_Down,Positive
SC_RS04575,6mA,53.69,Gained,3.17397098107162,1.1557147241386254e-07,Gained_Up,Positive
SC_RS04840,4mC,-80.08,Lost,-1.4200213255006993,5.283605156211216e-14,Lost_Down,Positive
SC_RS05035,4mC,-88.57,Lost,-1.7231533363597225,2.0111916279335196e-21,Lost_Down,Positive
SC_RS05075,6mA,50.38,Gained,1.81982970974484,0.00012413497611155755,Gained_Up,Positive
SC_RS05135,6mA,-52.15,Lost,3.712480729980381,6.2600867277535055e-06,Lost_Up,Negative
SC_RS05370,6mA,60.79,Gained,3.4392051462917546,1.8187618305980257e-07,Gained_Up,Positive
SC_RS05450,4mC,-65.47,Lost,-1.027221155163064,7.569466549030354e-06,Lost_Down,Positive
SC_RS05460,6mA,-55.69,Lost,2.6689520772048203,1.4304198905666952e-06,Lost_Up,Negative
SC_RS05485,6mA,12.390000000000008,Gained,3.456963191841523,3.711742810495984e-15,Gained_Up,Positive
SC_RS05530,4mC,95.24,Gained,1.1651850961996242,4.901387824887727e-05,Gained_Up,Positive
SC_RS06430,6mA,51.05,Gained,1.0308834218834066,0.0019959578551962,Gained_Up,Positive
SC_RS06510,4mC,-11.36999999999999,Lost,-2.5424657343394443,1.2513800363505396e-37,Lost_Down,Positive
SC_RS06595,4mC,-51.82,Lost,-1.3890275073610383,3.216703870268517e-14,Lost_Down,Positive
SC_RS06905,4mC,-74.6,Lost,-1.011594535986088,1.81277810321599e-06,Lost_Down,Positive
SC_RS07135,6mA,51.2,Gained,1.580200957107457,5.7058573069820834e-09,Gained_Up,Positive
SC_RS07380,4mC,-57.07,Lost,-1.1359684803235737,5.8326745627291536e-08,Lost_Down,Positive
SC_RS07450,6mA,-52.43,Lost,3.5929752225718157,2.1619120805740007e-41,Lost_Up,Negative
SC_RS07565,4mC,-76.75,Lost,-1.1929562083829506,5.106624493895285e-09,Lost_Down,Positive
SC_RS07590,6mA,61.02,Gained,2.403447332203706,1.729403063067425e-06,Gained_Up,Positive
SC_RS07820,6mA,-13.649999999999999,Lost,-3.224543874613839,2.888168716372941e-33,Lost_Down,Positive
SC_RS07905,6mA,-53.04,Lost,2.414995616919223,6.289848082533972e-15,Lost_Up,Negative
SC_RS08180,6mA,-56.8,Lost,-1.9423658227451364,1.7481662783512665e-25,Lost_Down,Positive
SC_RS08315,6mA,-51.01,Lost,2.0730990758490004,1.0028182841444126e-06,Lost_Up,Negative
SC_RS08400,6mA,-51.67,Lost,2.7695787702876937,5.360586957861754e-05,Lost_Up,Negative
SC_RS08425,6mA,-66.17,Lost,-3.021108972277834,4.4475749436104176e-39,Lost_Down,Positive
SC_RS08715,6mA,-58.33,Lost,4.611408473281191,3.959880233716693e-05,Lost_Up,Negative
SC_RS08720,6mA,-54.62,Lost,1.8873652560839445,2.761761700660742e-10,Lost_Up,Negative
SC_RS08955,4mC,-82.54,Lost,-1.332268875834441,1.9113288791846158e-10,Lost_Down,Positive
SC_RS09070,4mC,-74.31,Lost,-1.195756850502715,1.0804489120228693e-07,Lost_Down,Positive
SC_RS09930,6mA,62.1,Gained,2.4602954765366856,4.757821314050109e-10,Gained_Up,Positive
SC_RS10200,6mA,-51.3,Lost,-1.7240178636980628,1.519790742996618e-13,Lost_Down,Positive
SC_RS10200,4mC,-11.969999999999999,Lost,-1.7240178636980628,1.519790742996618e-13,Lost_Down,Positive
SC_RS10280,4mC,-23.070000000000007,Lost,-1.2569912595110606,2.5053020364697066e-08,Lost_Down,Positive
SC_RS10550,6mA,-54.76,Lost,1.908630457877636,1.9963653463040407e-06,Lost_Up,Negative
SC_RS10560,4mC,80.04,Gained,1.0045941328569907,0.0002079575743009892,Gained_Up,Positive
SC_RS10995,4mC,-53.89,Lost,-1.7366736953499544,1.4530627638948618e-13,Lost_Down,Positive
SC_RS11025,4mC,-16.949999999999996,Lost,-1.665593547129808,8.168556144939905e-10,Lost_Down,Positive
SC_RS11030,6mA,-58.07,Lost,2.151290350839986,1.66654776210037e-17,Lost_Up,Negative
SC_RS11275,6mA,-51.29,Lost,-2.4368475516964128,1.5963786618621654e-39,Lost_Down,Positive
SC_RS11380,6mA,-53.08,Lost,-1.0561159098418471,8.014154871017012e-07,Lost_Down,Positive
SC_RS11705,4mC,-63.35,Lost,-1.2179040543454152,9.513858901663033e-08,Lost_Down,Positive
SC_RS11710,4mC,-72.31,Lost,-2.3100431430020976,8.823958500635553e-22,Lost_Down,Positive
SC_RS11755,4mC,-83.7,Lost,-1.6424335754251147,4.2438080645573104e-19,Lost_Down,Positive
SC_RS11875,4mC,-54.61,Lost,-3.1946094460909715,2.5059286622157474e-33,Lost_Down,Positive
SC_RS12015,4mC,-77.14,Lost,-1.2797591934234167,3.571395731522053e-07,Lost_Down,Positive
SC_RS12195,6mA,-51.32,Lost,4.482188045105227,1.4955811134677004e-10,Lost_Up,Negative
SC_RS12210,4mC,-93.77,Lost,-2.2663815071123525,5.8586550441638346e-18,Lost_Down,Positive
SC_RS12310,4mC,-85.56,Lost,-1.1244708941254988,2.5477812871105972e-08,Lost_Down,Positive
SC_RS12890,4mC,-88.25,Lost,-1.2683347914212282,1.247137996692824e-13,Lost_Down,Positive
SC_RS12945,4mC,-82.5,Lost,-2.090390722599252,3.1658693370968124e-15,Lost_Down,Positive
SC_RS13205,4mC,-77.45,Lost,-1.395896361684464,1.6509112805827304e-08,Lost_Down,Positive
SC_RS13210,4mC,-77.45,Lost,-1.1779478104129035,8.784763833908636e-08,Lost_Down,Positive
SC_RS13295,4mC,-56.42,Lost,-1.9295813716923509,3.4107021085225393e-20,Lost_Down,Positive
SC_RS13410,4mC,-61.52,Lost,-1.9307024796387988,1.2507503525573853e-24,Lost_Down,Positive
SC_RS13455,4mC,-71.09,Lost,-4.1706649836794085,4.7728470369742815e-57,Lost_Down,Positive
SC_RS14175,4mC,-56.84,Lost,-1.3180876314153236,5.340055553661431e-09,Lost_Down,Positive
SC_RS14745,6mA,-50.86,Lost,-1.0314184441038727,2.1572505134090297e-08,Lost_Down,Positive
SC_RS15255,6mA,-58.58,Lost,4.053364293910456,4.035167468343544e-49,Lost_Up,Negative
