gene_id,mod_type,methyl_change,methyl_category,log2FC,padj,coordination,correlation_type
SC_RS02295,6mA,13.580000000000005,Gained,2.450797449933316,0.00035100116961994687,Gained_Up,Positive
SC_RS02455,4mC,86.6,Gained,1.3127734931300468,9.797260265484812e-09,Gained_Up,Positive
SC_RS02610,6mA,50.53,Gained,1.3956806988911707,0.0064351005052189,Gained_Up,Positive
SC_RS02830,6mA,-10.96,Lost,5.488622161670306,6.189143763629263e-06,Lost_Up,Negative
SC_RS02875,6mA,-52.62,Lost,-1.9004168310219596,8.338379647897544e-14,Lost_Down,Positive
SC_RS03020,6mA,50.21,Gained,7.973055174792361,6.8826333059600446e-68,Gained_Up,Positive
SC_RS03040,6mA,62.03,Gained,5.9408842837066365,3.295686318664751e-23,Gained_Up,Positive
SC_RS03250,6mA,-53.37,Lost,1.0523627135003395,0.0008245978071270458,Lost_Up,Negative
SC_RS03460,6mA,-52.31,Lost,1.05415216667284,0.00020347632917847353,Lost_Up,Negative
SC_RS03485,6mA,-55.42,Lost,4.114389852494749,6.985990877350837e-14,Lost_Up,Negative
SC_RS03550,4mC,80.95,Gained,1.8423574025501936,3.94600353239007e-13,Gained_Up,Positive
SC_RS03620,6mA,-10.780000000000001,Lost,4.873051644745472,3.781807636710778e-15,Lost_Up,Negative
SC_RS03625,6mA,-52.04,Lost,3.304460181646964,1.5623794258425132e-13,Lost_Up,Negative
SC_RS03800,6mA,52.18,Gained,1.6236564332678822,8.981998873201406e-06,Gained_Up,Positive
SC_RS03805,6mA,52.18,Gained,2.141069498225888,4.863403653845233e-13,Gained_Up,Positive
SC_RS03870,6mA,54.5,Gained,9.246957149973117,8.43891293050258e-86,Gained_Up,Positive
SC_RS03920,6mA,-52.87,Lost,3.309916267921167,9.888335470244702e-47,Lost_Up,Negative
SC_RS04155,6mA,11.980000000000004,Gained,1.2105719974354314,0.0001651167909244479,Gained_Up,Positive
SC_RS04200,6mA,-52.47,Lost,1.5108650062124096,5.397617707208326e-06,Lost_Up,Negative
SC_RS04370,4mC,97.44,Gained,3.651830730454477,3.4806509328659227e-56,Gained_Up,Positive
SC_RS04425,6mA,-55.06,Lost,4.271072815841268,1.1525668903733112e-44,Lost_Up,Negative
SC_RS04430,6mA,-55.06,Lost,1.2671355794438302,0.0006218897553473219,Lost_Up,Negative
SC_RS04575,6mA,53.69,Gained,2.4825837544755007,5.126931647617844e-07,Gained_Up,Positive
SC_RS04640,6mA,-60.32,Lost,2.728782317664384,1.11253683456155e-17,Lost_Up,Negative
SC_RS04645,6mA,61.53,Gained,2.3124723949734483,9.212709918792188e-38,Gained_Up,Positive
SC_RS04660,6mA,56.41,Gained,5.471708338488126,3.203076200837985e-06,Gained_Up,Positive
SC_RS04710,6mA,-55.56,Lost,-2.244388340538972,2.3939259168522532e-14,Lost_Down,Positive
SC_RS04780,6mA,-53.57,Lost,1.8036915625311816,3.8357706782032894e-08,Lost_Up,Negative
SC_RS04810,6mA,-55.64,Lost,1.3059967906421537,0.0023247766731882,Lost_Up,Negative
SC_RS04860,6mA,59.0,Gained,4.37919391928458,4.94101254939498e-24,Gained_Up,Positive
SC_RS04865,6mA,13.009999999999998,Gained,3.713971497920266,4.5894963197063105e-57,Gained_Up,Positive
SC_RS04960,4mC,11.629999999999995,Gained,2.4010730620613323,6.654702728943765e-17,Gained_Up,Positive
SC_RS05075,6mA,50.38,Gained,1.6113360419805196,0.000187298760275269,Gained_Up,Positive
SC_RS05290,6mA,-12.980000000000004,Lost,3.421637531699695,2.3637254123676305e-10,Lost_Up,Negative
SC_RS05295,6mA,-12.980000000000004,Lost,3.7822973065291943,4.91559864535202e-19,Lost_Up,Negative
SC_RS05300,6mA,57.73,Gained,1.0580699901213235,1.995101920564294e-09,Gained_Up,Positive
SC_RS05330,6mA,-52.33,Lost,4.326296714693034,1.228991321331794e-67,Lost_Up,Negative
SC_RS05460,6mA,-56.39,Lost,4.232750399858096,6.751071574081307e-10,Lost_Up,Negative
SC_RS05470,6mA,62.95,Gained,4.49293605113125,1.276350374542426e-07,Gained_Up,Positive
SC_RS05485,6mA,64.29,Gained,2.8676687798585383,9.986521573425925e-14,Gained_Up,Positive
SC_RS05530,4mC,95.24,Gained,3.0972702411066155,3.0970067494525627e-21,Gained_Up,Positive
SC_RS05825,6mA,-63.91,Lost,1.2646726678711635,1.124663197469298e-06,Lost_Up,Negative
