locus_tag,gene_name,function,6mA_T1,6mA_T2,4mC_T1,4mC_T2,total_T1,total_T2,log2FC_T2vsT1,padj_T2vsT1,log2FC_T3vsT1,padj_T3vsT1,methyl_change
SC_RS27500,actVA-ORF5,Hydroxylase,0,0,0,0,0,0,-0.2016682321445138,0.4152549499091742,-1.2597489101391814,7.33929929835192e-08,None
SC_RS27505,actVA-ORF4,Monooxygenase,0,0,0,0,0,0,1.291468658734121,0.0010458372562035,1.9666046481872224,2.47410224009934e-07,None
SC_RS27510,actVA-ORF3,Dehydratase,1,0,0,0,1,0,0.4210869122576681,0.1578048137068623,4.242990108498201,4.754672405680768e-53,Lost
SC_RS27515,actVA-ORF2,Unknown,0,0,0,0,0,0,1.24633732616446,0.1025718489342979,11.33944914956524,8.522600213715649e-27,None
SC_RS27520,actVA-ORF1,Unknown,0,0,0,0,0,0,1.6050095836143912,0.0002129588739613309,10.892241142255408,2.527546177747066e-158,None
SC_RS27525,actVI-ORF4,Cyclase,0,0,0,0,0,0,1.0052736106236175,0.0065957805799004,8.611226971620342,6.786719925715309e-130,None
SC_RS27530,actVI-ORF3,Cyclase,0,0,0,0,0,0,1.7267121382991433,6.488991124607168e-05,10.867722381003082,5.390511280933042e-153,None
SC_RS27535,actVI-ORF2,Cyclase,0,0,1,1,1,1,1.0452559451933645,0.0006437011489382198,8.95466927920362,1.5575303737509818e-215,Stable
SC_RS27540,actVI-ORF1,Cyclase,0,0,0,0,0,0,1.2149238029343046,1.599212607658745e-06,5.764206995301499,3.156812981348246e-118,None
SC_RS27545,actVII,Aromatase,0,0,0,0,0,0,2.0782913377319443,1.8539355383982545e-13,5.424960901490119,1.0914830893859566e-84,None
SC_RS27550,actIV,Cyclase,0,0,0,0,0,0,1.6991290041587663,1.1961908827727948e-10,7.223983298845959,9.917087773020967e-172,None
SC_RS27555,actI-ORF3,KS,0,0,1,0,1,0,1.4447110627908997,3.7281607100575967e-06,8.288223317244007,2.886690545457848e-169,Lost
SC_RS27560,actI-ORF2,CLF,0,0,0,0,0,0,1.6087260311127491,6.053188035380332e-08,8.38583179192141,2.0899787612258524e-185,None
SC_RS27565,actI-ORF1,ACP,0,0,0,0,0,0,-0.160935131907637,0.6563970227925459,6.12408325268824,1.3852964762441308e-85,None
SC_RS27570,actII-ORF4,SARP regulator,0,0,0,0,0,0,-0.8299871201264029,0.0013098396526155,2.5950361467035115,1.2009819406248371e-24,None
SC_RS27575,actII-ORF3,Dehydrase,0,0,0,0,0,0,-1.4687563772126313,9.491116754254408e-07,7.650774631333633,1.9849450067480533e-189,None
SC_RS27580,actII-ORF2,ActR (repressor),0,0,0,0,0,0,-1.768552089846399,1.3646169198481685e-08,7.651215977481651,1.0533120488418204e-179,None
SC_RS27585,actII-ORF1,Transporter,0,0,0,0,0,0,1.9854878028690233,4.664076720967501e-14,6.435870540124959,6.340036627731633e-136,None
SC_RS27590,actIII,Ketoreductase,0,0,0,0,0,0,1.7441447828977934,4.7080826147847056e-05,11.105699808385983,4.495349197686715e-162,None
SC_RS27595,actVB,Hydroxylase,0,0,0,0,0,0,1.415688330363807,0.0008091443101114333,10.00695369830058,6.006864083553254e-135,None
