tf_name	tf_sco	tf_rs	n_binding_sites	n_target_genes	n_regulatory_targets	n_exposed_targets	n_shielded_targets	pct_regulatory_targets	pct_exposed_targets	mean_abs_lfc_target_T2	median_abs_lfc_target_T2	wilcoxon_p_T2	deg_rate_target_T2	deg_count_target_T2	mean_abs_lfc_target_T3	median_abs_lfc_target_T3	wilcoxon_p_T3	deg_rate_target_T3	deg_count_target_T3
AbrC3	SCO4596	SC_RS25135	2933	2432	276	21	255	11.348684210526317	0.8634868421052633	1.5026466906900109	0.9957607498787938	0.7566508620467634	49.37759336099585	1071	1.820605769267206	1.4629015847518954	0.23471462329727477	63.80820654679575	1384
AfsQ1	SCO4907	SC_RS26695	12	6	1	0	1	16.666666666666664	0.0	1.374915861456966	1.146769771923382	0.7910026441518172	50.0	3	2.2316930031700095	1.8853895183254252	0.21396893003084774	100.0	6
GlnR	SCO4159	SC_RS22985	10	10	2	0	2	20.0	0.0	1.6637633417323516	1.5419415977152109	0.15932694898986943	88.88888888888889	8	1.5966193866677068	1.1566697132892974	0.9548142583151622	66.66666666666666	6
NdgR	SCO5552	SC_RS29970	36	36	6	0	6	16.666666666666664	0.0	1.1654317841391928	0.8264669241107789	0.40629997044262656	43.75	14	1.4315979648105641	1.0482931788879408	0.30394680366938953	53.125	17
PhoP	SCO7637	SC_RS40380	11	11	3	0	3	27.27272727272727	0.0	1.3057168137106419	0.6124996533783597	0.21753782226291907	27.27272727272727	3	1.7816520150943647	1.0190001846100891	0.7350239026615809	54.54545454545454	6
SigB	SCO0600	SC_RS04925	5069	3718	465	27	438	12.506724045185583	0.7261968800430338	1.4661411834436273	0.9937028148332692	0.18952131239981518	49.44956858077953	1662	1.7777459268432274	1.408442236184417	0.5070916878847971	62.83844094019637	2112
SigE	SCO5147	SC_RS27900	58	52	8	1	7	15.384615384615385	1.9230769230769231	1.52111517026912	0.9273841363863508	0.7848793779359057	48.888888888888886	22	1.496028662408177	1.1951014014923391	0.2704512875087045	60.0	27
SigR	SCO5216	SC_RS28260	1304	1133	139	8	131	12.268314210061783	0.706090026478376	1.5147165806000575	1.005153935102721	0.8484115398137597	50.298804780876495	505	1.7309918636825457	1.3292890038557053	0.2292572648805179	61.45418326693227	617
